Date,Title,Categories,Lyrics,Tag
Apr 13,"Oh, Yeah, It Feels So Good Lyrics – Home Again",English Lyrics,"Oh, Yeah, It Feels So Good Lyrics<BR><BR><BR>oh yeah, it feels so goodrick spoken:<BR>this is for the hundred dollar billers<BR>for my butter pican ricans<BR>and my chocolate playboy bunnies<BR>feels so good<BR>chours:<BR>oh yeah, it feels so good<BR>to be back were we belong<BR>oh yeah it feels so good<BR>this is where we started from<BR>verse 1:ron:<BR>everybody let’s take a ride<BR>everybody just come inside<BR>ona journey<BR>let’s go back in time<BR>i’ll keep the feelin’ rightricky:<BR>everybody it’s time to play<BR>come on everybody let yo discman sway<BR>forget all the other sounds<BR>‘cause new edition is what’s going downb sec:<BR>ralph and ricky:<BR>now the time has come<BR>to return as one<BR>and it’s never been better<BR>and now, i never though this day would come<BR>and it feels so good to me<BR>to be back where we belongchorus<BR>oh yeah it feels so good<BR>to be back where we belong (back where we belong)<BR>oh yeah, it feels so good<BR>this is where we started from<BR>(this is where we started from)verse 2<BR>bobby<BR>been too long it’s time to get in the mood<BR>something to make you move<BR>a li’l something that’s in this groove<BR>it’ll be alright<BR>nobody’s humpin around tonight<BR>and baby your mama need not to get it<BR>cause n.e. is damn sho nuff comin with itrap<BR>mike & ron:<BR>fancy cars n’ everything<BR>silk, slips and trips to rio<BR>playin c-low with the gamblers<BR>lear jets and different sets<BR>placin bets big willie style<BR>i gots the frequest flyer miles<BR>i’m goin’ paces atlantic city to vegas<BR>leaving no traces<BR>sippin’ bubblie with familar faces<BR>me and my crew, long overdue<BR>jimmy and terry<BR>with the n to the e<BR>the money making recipechorus (2x)<BR>oh yeah it feels so good<BR>to be back where we belong<BR>oh yeah, it feels so good<BR>this is where we started from<BR>(""oh yeah it feels go good""-cont)rap<BR>ron:<BR>we’re comin’<BR>we’re comin’ back from a long hiatus<BR>it’s the greatest<BR>the latest craze<BR>to hit the stages<BR>be amazin<BR>sold out nights<BR>spot lights, and fights for tickets<BR>dips with picket signs<BR>standing in line<BR>for hours and days<BR>gettin’ weak<BR>fiendin’ for my peak<BR>of that n e mystic<BR>know what i mean<BR>as we play upon the scene<BR>big money players<BR>coming clean with the greenj.g.<BR>bridge<BR>johnny:<BR>now the time has come<BR>and we have just begun<BR>we’re coming loud and clear<BR>n.e.’s back and in your ear<BR>ain’t nothing gonna stop us now<BR>we’ve gotta stay together some how<BR>we’re back where we belong<BR>and it feels so…<BR>and it feels so goodchorus (2x)<BR>oh yeah, it feels so good<BR>to be back where we belong<BR>oh yeah, it feels so good<BR>this is where we started from<BR><BR><BR><BR><BR>lyrics:oh,yeah,it feels so good<BR>album:home again<BR>artist:new edition<BR>","Oh,Yeah,It Feels So Good Lyrics,Home Again lyrics,Home Again song lyrics,New Edition lyrics,New Edition song lyrics,Oh Yeah,It Feels So Good lyrics,ohyeahit feels so good,home again,new edition"
Apr 13,Tell Her Lyrics – Lonely Grill,English Lyrics,"Tell Her Lyrics<BR><BR><BR>so you say your love’s about to end<BR>you say you can’t take no more<BR>she’s out the door<BR>and your looking for a friend<BR>who am i to tell you why<BR>but i’m just curious, were you furious<BR>or did you swallow your pride<BR>and look her in the eye andtell her that you love her<BR>tell her that you need her<BR>tell her that you want her to stay<BR>reassure her with a kiss<BR>she may never know unless you<BR>show her what your feeling<BR>tell her you’re believing<BR>even though it’s hard to say<BR>’cause she needs to know you’re thinking of her<BR>so open up and tell her that you love herbrother i’ve been right where you are now<BR>and my heart was broke<BR>’cause i never spoke<BR>those healing words out loudbut i’ve learned my lesson well<BR>and now every night<BR>before i close my eyes<BR>i look at my woman and<BR>i ask myself did youtell her that you love her<BR>tell her that you need her<BR>tell her that you want her to stay<BR>reassure her with a kiss<BR>she may never know unless you<BR>show her what your feeling<BR>tell her you’re believing<BR>even though it’s hard to say<BR>’cause she needs to know you’re thinking of her<BR>so open up and tell her that you love hertell her that you love hertell her that you love her<BR>tell her that you need her<BR>tell her that you want her to stay<BR>reassure her with a kiss<BR>she may never know unless you<BR>show her what your feeling<BR>tell her you’re believing<BR>even though it’s hard to say<BR>’cause she needs to know you’re thinking of her<BR>so open up and tell her that you love her<BR>tell her that you love her.<BR><BR><BR><BR><BR>lyrics:tell her<BR>album:lonely grill<BR>artist:lonestar<BR>","Tell Her Lyrics,Lonely Grill lyrics,Lonely Grill song lyrics,Lonestar lyrics,Lonestar song lyrics,Tell Her lyrics,tell her,lonely grill,lonestar"
Apr 13,Suzie Lightning Lyrics – I’ll Sleep When I’m Dead,English Lyrics,"Suzie Lightning Lyrics<BR><BR><BR>she only sleeps on planes<BR>she’s tired of going nowhere<BR>she’s in yugoslavia<BR>working in a miniseriessuzie lightning<BR>i built a world for her<BR>suzie lightning<BR>i need a girl from earthshe’s in hungary<BR>she sends post cards home<BR>does she think of me?<BR>i’m in hollywoodsuzie lightning<BR>takes no prisoners<BR>suzie lightningno use crying about it<BR>no use trying to hold on<BR>she lights up the sky<BR>then she’s goneshe don’t have time for love<BR>she don’t need me now<BR>can’t she see i’m burning up<BR>burning down, burning outsuzie lightning<BR>i built a world for her<BR>suzie lightning<BR>i need a girl from earth<BR><BR><BR><BR>lyrics:suzie lightning<BR>album:i’ll sleep when i’m dead<BR>artist:warren zevon<BR>","Suzie Lightning Lyrics,I'll Sleep When I'm Dead lyrics,I'll Sleep When I'm Dead song lyrics,Suzie Lightning lyrics,Warren Zevon lyrics,Warren Zevon song lyrics,suzie lightning,i’ll sleep when i’m dead,warren zevon"
Apr 13,World Of Entertainment (W.O.E. Is Me) Lyrics – Quality Control,English Lyrics,"World Of Entertainment (W.O.E. Is Me) Lyrics<BR><BR><BR>[chorus]<BR>welcome to the wonderful world of entertainment<BR>where life imitate art and people get famous<BR>welcome to the world of showbiz arrangement<BR>where lights, camera, action is the language[repeat chorus]we was rockin a jam the other night<BR>j5 was on the mic so the people was hype<BR>yo, we like to rock the party with adrenalin and passion<BR>the crowd started screamin ""action satisfaction""<BR>numark dropped the beat and the heat from the fire<BR>we brought the energy and streetcar named desirewe was flippin, they was trippin, how we was old schoolin’<BR>needle to the groove, hands in the air movin’<BR>and we said to the crowd ""this is the place to be,<BR>whether you paid a fee or you got in free""so when you step through the door, the music gets loud<BR>manuever through the crowd to get a better view now[chorus]to be an mc, you got to be so fresh<BR>to have style and finesse way above the rest<BR>with the strong delivery, vocal chemistry<BR>street poetry in tune with the beat<BR>so if you think you got the skills come take a test<BR>microphone check if you truly are blessed<BR>if you can flow like water and can comprehend<BR>you need longevity in this game to win<BR>now if you want to be the best you got to move and motivate<BR>watch the money that you make in the industry stakescause some of these people ain’t got no class<BR>and some of these folks’ll make you beat they ass<BR>if you can believe then you can achieve<BR>get the loot, live the dream, be on top of the scene<BR>to keep the people in it, and accumulate fans<BR>to be dope in the studio and slam at the jams, so[chorus]welcome party people, while we got your attention<BR>there’s a few things we’d like to mention<BR>the name is jurassic, but they call us j5<BR>we rock bonafide fly rhymes fortified<BR>we got 2 djs controlling the beat and<BR>vocal harmonies make it sound so sweet<BR>we’re the four horsemen, with words to caution<BR>expressed and flipped in an orderly fashion<BR>with the rhymin’, designin’ the music on time and<BR>the fellas saying ""ho"" and the ladies losin’ they mind and<BR>the breakin’, the scratchin’, this thing called rappin’<BR>the cultivated music that keeps your hands clappin<BR>the passion, reaction, the street satisfaction<BR>brothers using no tactics to make it happen<BR>the rhythm, the spirit, you love it when you hear it<BR>nowadays when you’re samplin’ shit, you gotta clear it[chorus 1.75x]<BR>[cut after ""welcome to the world of showbiz arrangement, where..""]<BR>[samples: ""lights"" – ""camera"" – ""action!""]<BR><BR><BR><BR>lyrics:world of entertainment (w.o.e. is me)<BR>album:quality control<BR>artist:jurassic 5<BR>","World Of Entertainment (W.O.E. Is Me) Lyrics,Jurassic 5 lyrics,Jurassic 5 song lyrics,Quality Control lyrics,Quality Control song lyrics,World Of Entertainment (W.O.E. Is Me) lyrics,world of entertainment (w.o.e. is me),quality control,jurassic 5"
Apr 13,We Don’t Know Where We’re Going Lyrics – Split the Difference,English Lyrics,"We Don’t Know Where We’re Going Lyrics<BR><BR><BR>the operation’s on<BR>movin’ forward<BR>we don’t know where we’re goin’,<BR>but we’re on our wayso raise the alarm<BR>movin’ forward<BR>we don’t know where we’re goin’,<BR>we’re goin’ our own wayso move away from home<BR>it’s happening<BR>we don’t know where we’re goin’<BR>but we’re on our waypack up anything you own<BR>it’s happening<BR>we don’t know where we’re goin’<BR>we’re goin’ our own wayif we’re gonna survive,<BR>we gotta let go of you<BR>i’m sorry that it took me so long<BR>to open up and tell you the truththe operation’s on<BR>movin’ forward<BR>we don’t know where we’re goin’,<BR>but we’re on our wayso raise the alarm<BR>movin’ forward<BR>we don’t know where we’re goin’<BR>we’re goin’ our own wayif we’re gonna survive,<BR>we gotta let go of you<BR>i’m sorry that it took me so long<BR>to open up and tell you the truth<BR><BR><BR><BR>lyrics:we don’t know where we’re going<BR>album:split the difference<BR>artist:gomez<BR>","We Don’t Know Where We’re Going Lyrics,Gomez lyrics,Gomez song lyrics,Split the Difference lyrics,Split the Difference song lyrics,We Don't Know Where We're Going lyrics,we don’t know where we’re going,split the difference,gomez"
Apr 13,Gettin’ It Lyrics – Gettin’ It,English Lyrics,"Gettin’ It Lyrics<BR><BR><BR>that’s right, album number ten, short dawg’s in the house<BR>it’s gettin close to the end y’all<BR>but we gonna kick it like this on the last albumverse one: too $hortnow let me holler at ya partner, spit this game<BR>in you ear for a minute, quit complaining<BR>bout how you can’t spend it cause you ain’t got it<BR>you got what it takes but not enough to get started<BR>i hope you get the message, no it’s not a test it’s<BR>just me ridin legit, they can’t arrest me or bust me<BR>i’m still hungry, i want some more stuff<BR>get fat and watch my whole crew blow up<BR>so get yours, and buy my new album<BR>peep the game and don’t be like calvin<BR>get everything you want, get real, get you mail<BR>get your girl to make bail and get your ass out of jail<BR>you should be gettin it, everything you want<BR>everything you dreamed of, never have to front<BR>you shoulf be gettin it, gettin money<BR>i’m talking bout you black, don’t laugh it aint funny<BR>you should get a good lawyer, like johnny cochran<BR>swear to tell the truth, hell no i didn’t pop him<BR>get your kids in school, so they can get an education<BR>get a degree, and take a vacation<BR>you see i got all my game from the streets of california<BR>young millionaire with no high school diploma<BR>livin real good, taking care of my folks<BR>roll up a fat one for the players to smoke<BR>short dawg in the house, i know you aint trippin<BR>cause life is too $hort you gotta get in where you fit in<BR>stop looking for what you never seem to find<BR>it ain’t what you think you got to read between the lines<BR>cause life ain’t long, for a young black man<BR>tryin to make money doing all he can<BR>sellin dope don’t ya hope he would go to classb<BR>but the boy makes money and he makes it fast<BR>with the twenties on top and the fifties on the bottom<BR>i fuck the top notches oh yes we got em<BR>it’s been a long time since i first got down<BR>but i still keep makin these funky sounds<BR>get your money man<BR>get yourschorus: p-funkyou should be gettin it<BR>get it while the gettin is good, get it while you can<BR>you should be gettin it<BR>get it while the gettin is good (repeat as necessary)verse two: too $horti know you tired of being broke just hanging out<BR>you gotta lot a dreams but you can’t get out<BR>the first thing you need to do is set your self some goals<BR>think positive, everything else is old<BR>and work hard, never stop hustlin<BR>cause they just love to see the black man strugglin<BR>(so what are you saying todd?)<BR>it’s time to come up, put your dollar bills in the air<BR>he said meet me at the white house and i was there<BR>cause i’m one in a million, black man rising<BR>they wanna keep me down but i always surprise em<BR>spend my money in the hood, i know it’s all good<BR>and you should do the same i told you peep the game<BR>too $hort, you know i’m the man<BR>i lend my brother a hand cause i know i can<BR>i keep going and goin but i’m not the pink bunny<BR>i’m not beatin on a drum i never stop thinkin money<BR>i’m gettin all i can if you don’t ya slip<BR>i can’t wait to get to heaven just to have a grip<BR>when i was broke, i couldn’t afford a meal<BR>but now i’m now rich i can’t be fake i gots to keep it real<BR>it’s been a long time baby since i first got down<BR>but it still keep making these funky soundschorus(i earned my respect in the street<BR>the ghetto’s been good to me<BR>i’m never going to turn my back<BR>the true and living so i got to kick the facts)<BR><BR><BR><BR><BR>lyrics:gettin’ it<BR>album:gettin’ it<BR>artist:too short<BR>","Gettin’ It Lyrics,Gettin' It lyrics,Gettin' It song lyrics,Too Short lyrics,Too Short song lyrics,gettin’ it,gettin’ it,too short"
Apr 13,Shake Lyrics – Strange Angels,English Lyrics,"Shake Lyrics<BR><BR><BR>i like you when i’m in the mood<BR>as the crow flies i go too<BR>silver slivers in your eyes make it worth every lie<BR>i ever told, they turn to gold<BR>they kept me<BR>they kept me here on this battlefield<BR>i find out what you’re all about, when i think to look around<BR>i feel my toes curl half-way around the world<BR>i’m sorry now<BR>there’s magic here and magic’s weird<BR>look, this is youhead in the clouds, feet underground,<BR>and when you shake the dogs howl<BR>i’m gonna live foreverhead in the clouds, feet underground,<BR>and when you shake the dogs howl<BR>i’m gonna live foreverstrange angels made this planet glow,<BR>then kicked us out<BR>i keep my nails dug into my half of the rug<BR>i’m sorry now, i’m sorry now<BR>you don’t know how, look, this is youhead in the clouds, feet underground,<BR>and when you shake the dogs howl<BR>i’m gonna live foreverhead underground, we’ll hang around,<BR>and when we shake the earth moves<BR>we’re gonna live forever<BR><BR><BR><BR><BR>lyrics:shake<BR>album:strange angels<BR>artist:kristin hersh<BR>","Shake Lyrics,Kristin Hersh lyrics,Kristin Hersh song lyrics,Shake! lyrics,Strange Angels lyrics,Strange Angels song lyrics,shake,strange angels,kristin hersh"
Apr 13,True Men Don’t Kill Coyotes Lyrics – Red Hot Chili Peppers,English Lyrics,"True Men Don’t Kill Coyotes Lyrics<BR><BR><BR>well, i’m gonna ride a sabertooth horse<BR>through the hollywood hills<BR>the farther west, the farther out<BR>yeah, that’s the way i feel<BR>well, i dig the dirt an’ i dig the dust<BR>i barbecue my mealsridin’ wild on a paisley dragon<BR>through the hollywood hills, yeah…<BR>huh, hollywood hillswell, i’m gonna ride a sabertooth horse<BR>through the hollywood hills<BR>just don’t show me anything<BR>‘cos that’s the way i feel<BR>well, i dig the dirt an’ i dig the dust<BR>i barbecue my mealsridin’ wild on a paisley dragon<BR>through the hollywood hills, yeah…<BR>huh, hollywood hillspassion dripping from the coyote’s eyes<BR>he can taste his blood<BR>an’ blood never lies<BR>pale face dietrue men don’t kill coyotes<BR>true men don’t kill coyoteswell, i’m gonna ride a sabertooth horse<BR>through the hollywood hills<BR>the farther west, the farther out<BR>yeah, that’s the way i feel<BR>well, i dig the dirt an’ i dig the dust<BR>i barbecue my mealsridin’ wild on a paisley dragon<BR>through the hollywood hills, yeah…<BR>huh, hollywood hillspassion dripping from the coyote’s eyes<BR>he can taste his blood<BR>an’ blood never lies<BR>pale face dietrue men don’t kill coyotes<BR>true men don’t…well, i’m gonna ride a sabertooth horse<BR>through the hollywood hills<BR>just don’t tell me anything<BR>‘cos that’s the way i feel<BR>well, i dig the dirt an’ i dig the dust<BR>i barbecue my mealsridin’ wild on a paisley dragon<BR>through the hollywood hills, yeah…<BR>huh, hollywood hillspassion dripping from the coyote’s eyes<BR>he can taste his blood<BR>an’ blood never lies<BR>pale face dietrue men don’t kill coyotes<BR>true men don’t…<BR>true men don’t kill coyotes<BR>true men don’t…<BR>true men don’t kill coyotes<BR>true men don’t…<BR><BR><BR><BR>lyrics:true men don’t kill coyotes<BR>album:red hot chili peppers<BR>artist:red hot chili peppers<BR>","True Men Don’t Kill Coyotes Lyrics,Red Hot Chili Peppers lyrics,Red Hot Chili Peppers song lyrics,True Men Don't Kill Coyotes lyrics,true men don’t kill coyotes,red hot chili peppers,red hot chili peppers"
Apr 13,Aquamen Lyrics – Street Cinema,English Lyrics,"Aquamen Lyrics<BR><BR><BR>(conversation on boat)(king kirk)<BR>we might be on the mob’s hitlist, y’all really with this?<BR>well we got five minutes so dive in it and get it with the quickness<BR>dont get ridiculous, bring what you can swim with that’s the end of it<BR>at 10:40 digit i want y’all back with the shit<BR>terrific we can sit sippin’ crystal christmas<BR>bricks, split it into triplets and distrubute like cigarettes<BR>more chips than picnics hitting chicks and stuff<BR>marl and dubez keep in touch, you brothas, good luck(dubez)<BR>you got the flashlights? [check]<BR>tracking device? [check]<BR>all we got is what, five? man it’s time to dive<BR>me and marlon took it under, said it’s best that we split up<BR>take what we can at 10:35, get up(marlon brando)<BR>twenty degrees five minutes, me and dubez under siege<BR>with ten minutes tops, it’s up to us to run the ki’s<BR>yo we fully prepared, scuba gear with the flares<BR>shark spears, dubez, wait for this school of fish to clear(dubez)<BR>we dove deeper, i tapped marlon, ayo, what’s that i see there?<BR>could it be that we there? man them bricks better be there<BR>tracking device blinking nigga, oh shit that’s it!<BR>got four and a half minutes, if we blow this, that’s it(marlon brando)<BR>swam and dipped to a sunken abandoned ship<BR>sands quicker, one cought up and landed his<BR>tampered with the compass to make sure we on track<BR>with bags, throw the ki’s on that then we can mosey on back(king kirk)<BR>sitting fronting like i’m fishing, so far no coast guard<BR>nervous but calm, heard my watch alarm, checked my arm<BR>time: two minutes, three left, sweat and nose running<BR>in case let me load the gun in…oh shit a boat’s coming!(dubez)<BR>all this coke i’m getting greedy but i gotta fight the urge<BR>with the ki’s to the city in front of me submerged<BR>time’s ticking, quick, we started the brick picking<BR>telling marl after this no more of the brick sticking [alright nigga]<BR>i see us pulling it off with no prob.<BR>what a job, aquamen underwater robbin the mob<BR>took a look up, seen two boats and got shook up<BR>brando, what if that’s the mob and them fucking the crook up?(king kirk)<BR>grabbed the binocs, looked like cops, stashed the glock<BR>they sailed up and stopped besides me and just watched<BR>finally one smiled at me then spoke finally [catch anything?]<BR>nah, still trying to! [yeah, alright] alright me and left silently(dubez)<BR>yo i think my bag is worthy enough to hold thirty<BR>heard me? fuck these last three minutes, let’ go early<BR>dude snap out of it! yo he’s trying to pack alot of it<BR>yo we gotta split or we get ourselves in hotter shit!<BR>just grab what you can, you know we on a timed schedule<BR>we can’t go out greedy and do twenty-nine federal<BR>we served out purpose, but now purpous in the worstess<BR>situation, gotta hurry back to the surface(king kirk)<BR>loading ammo, 10:40, where they at? goddamn, yo!<BR>oh no no, aw man yo! here come italiano<BR>stashed the toast, but kept my hand close if they approach<BR>hope dubez and marlon scope before they come through floatin<BR>>from italians boat heard words loud and clear<BR>‘hey paizano, tell that muly the get the fuck outtahea!’<BR>if it wasn’t nine of ’em, i would’ve put one inside of him<BR>but this predicament i’m in i ain’t got no time to win(marlon brando)<BR>yo we swam up, all i seen was kirk shoot the man up<BR>damn! that fucked the plan up, more men in suits ran up<BR>kirk put his hands up, he acting like he surrendered<BR>yo he seen us intending to help that why he preteding!(dubez)<BR>climbed up on they boat while they bought kirk faking<BR>gat in each hand, fully armed like troy aikman<BR>took two out, bullets ricocheing and i ain’t playin’<BR>tossed one gun to kirk and continued to keep spraying(marlon brando)<BR>yo he saw me reaching, i went behind the boat creeping<BR>now i’m thinking ‘i hope he’s sleeping’ we both peeped him like<BR>fuck the others, he saw me, i seen him<BR>so i ran in they boat and shot him when he leaned in(dubez)<BR>semi-auto glazed blazed, i’m thinking my arm grazed<BR>peeled back the last guiro, blood leaking through my speedo<BR>let’s bail, blew up they boat, covered the trail<BR>send a kite to the block perrico is on sale!<BR><BR><BR><BR><BR>lyrics:aquamen<BR>album:street cinema<BR>artist:sporty thievz<BR>","Aquamen Lyrics,Aquamen lyrics,Sporty Thievz lyrics,Sporty Thievz song lyrics,Street Cinema lyrics,Street Cinema song lyrics,aquamen,street cinema,sporty thievz"
Apr 13,New Sensation Lyrics – The Greatest Hits,English Lyrics,New Sensation Lyrics<BR><BR><BR>(a farriss & m hutchence)live baby live<BR>now that the day is over<BR>i got a new sensation<BR>in perfect moments<BR>impossible to refuse<BR>sleep baby sleep<BR>now that the night is over<BR>and the sun comes like a god<BR>into our room<BR>all perfect light and promisesgotta hold on you<BR>a new sensation<BR>a new sensation<BR>right now<BR>gonna take you over<BR>a new sensation<BR>a new sensationdream baby dream<BR>of all that’s come and going<BR>and you will find out<BR>in the end<BR>there really is<BR>there really is no differencecry baby cry<BR>when you’ve got to get it out<BR>i’ll be your shoulder<BR>you can tell me all<BR>don’t keep it in ya<BR>well that’s the reason why i’m hereare you ready for a new sensation<BR>a new sensation<BR>right now<BR>gonna take you on a new sensation<BR>a new sensationhate baby hate<BR>when there’s nothing left for you<BR>you’re only human<BR>what can you do<BR>it’ll soon be over<BR>don’t let your pain take over youlove baby love<BR>it’s written all over your face<BR>there’s nothing better we could do<BR>than live forever<BR>well that’s all we’ve got to dohey now i’m gonna take a new sensation<BR>a new sensation<BR><BR><BR><BR><BR>lyrics:new sensation<BR>album:the greatest hits<BR>artist:inxs<BR>,"New Sensation Lyrics,INXS lyrics,INXS song lyrics,New Sensation lyrics,The Greatest Hits lyrics,The Greatest Hits song lyrics,new sensation,the greatest hits,inxs"
