Date,Title,Categories,Lyrics,Tag
Apr 12,Do nainan ke Lyrics – Bandini,Hindi Lyrics,Do nainan ke Lyrics<BR><BR><BR>lyrics: do nainan ke<BR>film: bandini<BR>music: s d burman<BR>lyricist: shailendra<BR> <BR>do nainan ke milan ko do naina bulaen<BR>jab naina hon samane to naina jhuk jaen(o panchi pyare sanjha sakhare<BR>bole tu kaun si boli bata re<BR>bole tu kaun si boli ) 2main to panchi pinjare ki maina<BR>pankh mere bekar<BR>bich hamare sat re sagar<BR>(kaise chalun us par) 2<BR>o panchi pyarephagun mahina phuli bagiya<BR>am jhare amrai<BR>main khidaki se chup chup dekhun<BR>(ritu basant ki ai) 2<BR>o panchi pyare<BR><BR><BR><BR>,"Do nainan ke Lyrics,Bandini film lyrics,Bandini lyrics,Bandini movie lyrics,Bandini songs,Shailendra song lyrics"
Apr 11,Dur koi gae Lyrics – Baiju Bawra,Hindi Lyrics,Dur koi gae Lyrics<BR><BR><BR>lyrics: dur koi gae<BR>film: baiju bawra<BR>music: naushad<BR>lyricist: shakeel badayuni<BR> <BR>dur koi gae dhun ye sunae<BR>tere bin chaliya re baje na muraliya<BR>man ke andar ho pyar ki agni<BR>naina khoyekhoye ki hay rama naina khoyekhoye<BR>abhi se hai ye hal to age<BR>ram jane kya hoe<BR>nind nahin ae biraha satae<BR>tere bin chaliyamore angana laj ka pahara panv padi zanjir<BR>ki hay rama panv padi zanjir<BR>yad kisi ki jabjab ae<BR>lage jiya pe tir<BR>ke hay rama lage jiya pe tir<BR>ankh bhar ae jal barasae<BR>tere bin chaliya<BR><BR><BR><BR>,"Dur koi gae Lyrics,Baiju Bawra film lyrics,Baiju Bawra lyrics,Baiju Bawra movie lyrics,Baiju Bawra songs,Shakeel Badayuni song lyrics"
Apr 10,Ham garibon ka Lyrics – Shama,Hindi Lyrics,"Ham garibon ka Lyrics<BR><BR><BR>lyrics: ham garibon ka<BR>film: shama<BR>music: ghulam haider<BR>lyricist: suraiyya<BR> <BR>ham garibon ka bhi pura kabhi araman kar de<BR>apani rahamat ka zara ham pe ahasan kar de<BR>ham garibon ka bhi pura kabhi araman kar devo salamat rahe, phule phale, paravan chadhe<BR>un ke hathon se meri maut ka saman kar de<BR>ham garibon ka bhi pura kabhi araman kar demaut ko kam se matalab hai use nam se kya<BR>jism us ka rahe, quraban meri jan kar de<BR>ham garibon ka bhi pura kabhi araman kar de<BR><BR><BR><BR>","Ham garibon ka Lyrics,Shama film lyrics,Shama lyrics,Shama movie lyrics,Shama songs,Suraiyya song lyrics"
Apr 9,Hato kahe ko Lyrics – Manzil,Hindi Lyrics,Hato kahe ko Lyrics<BR><BR><BR>lyrics: hato kahe ko<BR>film: manzil<BR>music: s d burman<BR>lyricist: majrooh sultanpuri<BR> <BR>hato kahe ko jhuti banao batiyangair ka sath hai aur roz mulaqaten hain<BR>pyar hai us ke liye aur ham se faqat baten hain<BR>jao jao jao jhuthi bat na banao<BR>jal rahi virah men sainya aur na jalaohato kahe ko jhutiye udi udi si rangat<BR>ye khule khule se gesu<BR>teri subah kah rahi hai<BR>teri rat ka fasana<BR>dekho ji kisi ka pyar ham se na chupao<BR>sab hamen pata hai pyare nain na jhukao<BR>suno kahati hai kya kya tumhari akhiyan<BR>hato kahe ko jhuti<BR><BR><BR><BR>,"Hato kahe ko Lyrics,Majrooh Sultanpuri song lyrics,Manzil film lyrics,Manzil lyrics,Manzil movie lyrics,Manzil songs"
Apr 8,Dhiredhire bol koi Lyrics – Gora Aur Kaala,Hindi Lyrics,"Dhiredhire bol koi Lyrics<BR><BR><BR>lyrics: dhiredhire bol koi<BR>film: gora aur kaala<BR>music: laxmikant-pyarelal<BR>lyricist: anand bakshi<BR> <BR>dhiredhire bol koi sun na le, sun na le koi sun na le<BR>sej se kaliyan chun na le, chun na le koi chun na le<BR>hamako kisi ka dar nahin<BR>koi zor javani par nahin<BR>dhiredhirekuch kah le kuch kar le ye sansar<BR>ham premi hain ham to karenge pyar<BR>koi dekh le to dekh le, koi jan le to jan le<BR>koi dosh hamare sar nahin, koi zorbaton ke badale ankhon se lo kam<BR>varana ham ho jayenge re badanam<BR>nadan tum anjan tum beiman tum ? tum<BR>kyun chain tumhen pal bhar nahin, koi zorekek din ab lagata hai ek sal<BR>tere bin ab mera bhi hai yahi hal<BR>a pyar kar duniya se dar mat dur ja mat pas a<BR>main shisha hun pathar nahin, koi zor<BR><BR><BR><BR>","Dhiredhire bol koi Lyrics,Anand Bakshi song lyrics,Gora Aur Kaala film lyrics,Gora Aur Kaala lyrics,Gora Aur Kaala movie lyrics,Gora Aur Kaala songs"
Apr 7,Bhaut se adhe Lyrics – No Smoking,Hindi Lyrics,Bhaut se adhe Lyrics<BR><BR><BR>lyrics: bhaut se adhe<BR>film: no smoking<BR>music: vishal bhardwaj<BR>lyricist: gulzar<BR> <BR>bhaut se adhe bhujhe hue din<BR>pade hue hai ismein<BR>bhaut se adhi jali hui<BR>ratein gir padi hai<BR>bhaut se adhe bhujhe hue din<BR>pade hue hai ismein<BR>bhaut se adhi jali hui<BR>ratein gir padi haiyeh ash tray<BR>bharti ja rahi hai<BR>yeh ash tray<BR>bharti ja rahi haisulag rage hain<BR>sulag rahe hain<BR>yeh ash tray<BR>bharti ja rahi haidhua lipta hai dhua<BR>dhua dhua dhua dhua<BR>dhua dhua<BR>dhua lipta hai bazigar<BR>ki tarah hawa se<BR>dhua lipta hai bazigar<BR>ki tarah hawa se<BR>woh pal ke pal kha<BR>ke uth raha hai<BR>tamam kartab<BR>dekha raha hai<BR>yeh ash tray<BR>bharti ja rahi haina hat dalo<BR>na hat dalo<BR>ke waqt se chenu chuye<BR>lambho ki rat garm haike waqt se chenu chuye<BR>lambho ki rat garm hai<BR>ungleiya jaleyin gi<BR>yeh ash tray<BR>puri bhar gai hai<BR><BR><BR><BR>,"Bhaut se adhe Lyrics,Gulzar song lyrics,No Smoking film lyrics,No Smoking lyrics,No Smoking movie lyrics,No Smoking songs"
Apr 6,Tere dil men Lyrics – Chandni,Hindi Lyrics,"Tere dil men Lyrics<BR><BR><BR>lyrics: tere dil men<BR>film: chandni<BR>music: shiv hari<BR>lyricist: anand bakshi<BR> <BR>tere dil men main apane araman rakh dun<BR>a meri jan, main tujh men apani jan rakh dunankhe hain teri kyon khali khali<BR>baten kahan gayi wo pyarawali<BR>tere hothon pe apani muskan rakh dunansu tere nikale dil mera roye<BR>chot lage tujhako to dard mujhe hoye<BR>tere jkhmon pe apani juban rakh dunsaiyan ye baiyan jra tham le tu<BR>munh se kisi chij ka nam le tu<BR>tere kadamon men sara jahan rakh dun<BR><BR><BR><BR>","Tere dil men Lyrics,Anand Bakshi song lyrics,Chandni film lyrics,Chandni lyrics,Chandni movie lyrics,Chandni songs"
Apr 5,Ham the jinake Lyrics – Safar,Hindi Lyrics,"Ham the jinake Lyrics<BR><BR><BR>lyrics: ham the jinake<BR>film: safar<BR>music: kalyanji-anandji<BR>lyricist: indeevar<BR> <BR>ham the jinake sahare, vo hue na hamare<BR>dubi jab dil ki naya, samane the kinare<BR>ham the jinake saharekya muhabat ke vade, kya vafa ke irade<BR>ret ki hain divaren, jo bhi chahe gira de<BR>jo bhi chahe gira de<BR>ham the jinake saharehai sabhi kuch jahan men, dosti hai vafa hai<BR>apani ye kamanasibi, hamako na kuch bhi mila hai<BR>hamako na kuch bhi mila hai<BR>ham the jinake sahareyun to duniya basegi, tanahai phir bhi dasegi<BR>jo zindagi men kami thi, vo kami to rahegi<BR>vo kami to rahegi<BR>ham the jinake sahare<BR><BR><BR><BR>","Ham the jinake Lyrics,Indeevar song lyrics,Safar film lyrics,Safar lyrics,Safar movie lyrics,Safar songs"
Apr 4,Safar men dhup Lyrics – NonFilm,Hindi Lyrics,"Safar men dhup Lyrics<BR><BR><BR>lyrics: safar men dhup<BR>film: nonfilm<BR>music: jagjit singh<BR>lyricist: nida fazli<BR> <BR>safar men dhup to hogi, jo chal sako to chalo<BR>sabhi hain bhid men, tum bhi nikal sako to chalokisike vasate rahen kahan badalati hain<BR>tum apane ap ko kud hi badal sako to chaloyahan kisiko koi rasata nahin deta<BR>mujhe girake agar tum sambhal sako to chaloyahi hai zindagi, kuch kak chand umiden<BR>inhi khilaunon se tum bhi bahal sako to chalo<BR><BR><BR><BR>","Safar men dhup Lyrics,Nida Fazli song lyrics,NonFilm film lyrics,NonFilm lyrics,NonFilm movie lyrics,NonFilm songs"
Apr 3,Zindagi kitani khubasurat Lyrics – Bin Baadal Barsaat,Hindi Lyrics,"Zindagi kitani khubasurat Lyrics<BR><BR><BR>lyrics: zindagi kitani khubasurat<BR>film: bin baadal barsaat<BR>music: hemant kumar<BR>lyricist: shakeel badayuni<BR> <BR>zindagi kitani khubasurat hai, aiye apaki zarurat hai<BR>zindagi kitaniarazuon ke diye, aj raushan kijiye<BR>ae hain milane ko ham, zindagi ke parade liye (?)<BR>kya hasin rat kya muhurat hai, zindagi kitaniyun na ab sharamaiye, yun na ab ghabaraiye<BR>phul ke ghunghat se ab, chandani barasaiye<BR>chandani rat kya zarurat hai, zindagi kitani<BR><BR><BR><BR>","Zindagi kitani khubasurat Lyrics,Bin Baadal Barsaat film lyrics,Bin Baadal Barsaat lyrics,Bin Baadal Barsaat movie lyrics,Bin Baadal Barsaat songs,Shakeel Badayuni song lyrics"
