Date,Title,Categories,Lyrics,Tag
Apr 5,Omkaram srusti song lyrics – Damarukam(2012),Telugu Lyrics,"Omkaram srusti song lyrics<BR><BR><BR>omkaaram srusti saaram<BR>vidhi vidhi likhitham moksha daksham subhiksham<BR>angangam divya lingam<BR>gaja mukha vinutham<BR>saannapoorna samaksham<BR>vedartham vyasa peetam<BR>suramuni sahitham santhithantham sukhantham<BR>veswesam chithprakasam<BR>srithajana paradam kaasinatham namami<BR><BR><BR><BR>movie: damarukam(2012)<BR>music director:d.s.p<BR>star cast:nagarjuna,anushka<BR>singer(s):venkat sai","Omkaram srusti song lyrics,D.S.P music lyrics,Damarukam movie lyrics,Jonnavittula song lyrics,Nagarjuna movie lyrics,Omkaaram srusti song lyrics,damarukam(2012),d.s.p,nagarjuna,anushka,venkat sai"
Apr 3,Indiramma inti peru song lyrics – Mahatma(2009),Telugu Lyrics,"Indiramma inti peru song lyrics<BR><BR><BR>raghupati ragahav raja ram<BR>patita pavana sita ram<BR>ishwara allah tero nam<BR>sab ko sanmati de bhagavanindiramma inti peru kadhu ra gandhi..<BR>oorikokka veedhi peru kadhura gandhi..<BR>indiramma inti peru kadhu ra gandhi..<BR>oorikokka veedhi peru kadhura gandhi..<BR>currency note meedha….ila nadi road meedha<BR>manam chusthunna bomma kadhu ra gandhi<BR>baratha matha thala raatanu marchina vidhaatha ra gandhi<BR>tara tarala yama yaathana teerchina varadaatha ra gandhi ……indiramma inti peru kadhu ra gandhi..<BR>oorikokka veedhi peru kadhura gandhi..rama namamey thalapantha…prema dhamame manasantha<BR>ashrama deeksha swatantra kanksha aakruthi daalchina avadootha<BR>apuroopam aa charitha..<BR>karma yogame janmantha..<BR>dharma kshetrame brathukantha…sambhavami ani prakatinchina alanati krishna bhagavad gita..<BR>ee boosi noti thataa..manalage oo thalli kanna maamoolu manishi kadharaa gandhi<BR>mahatmudantu mannana pondhe sthaayiki penchada aayana spoorthi<BR>sathya ahimsala maargajyothi..<BR>nava shakaanike naandhiraghupati ragahav raja ram<BR>patita pavana sita ram<BR>ishwara allah tero nam<BR>sab ko sanmati de bhagavanraghupati ragahav raja ram<BR>patita pavana sita ram<BR>ishwara allah tero nam<BR>sab ko sanmati de bhagavanguppedu uppunu poogesi..nippula uppena ga chesi<BR>dandi yaatrane danda yatraga mundhuku nadipina adhinetha..<BR>sisalaina jaggajetha….charakaa yantram choopinchi..swadesi soothram nerpinchi<BR>noolu pogutho madhaputenugala bandinchadura jaathipitha…<BR>sankalpa balam chetha….suryudasthaminchani raajyaniki padamara daarini choopinchina kraanthi<BR>toorupu telarani nadiratriki swechaa baanudi prabatha kaanthi..<BR>padhavulu korani paavani moorthi….<BR>hrudayalelina chakravarthi..ilanti narudoka dilatalampai nadayadina eenati sangathi<BR>nammaranidane nammakamunde mundhu taraalaki cheppandisarva jana hitam na matam…<BR>antaraani tanani anthah kalahalani antham chesendhuke na aayuvantha ankitham…hey raam….<BR><BR><BR><BR>movie:mahatma(2009)<BR>music director:vijay antony<BR>star cast:sreekanth,bhavana<BR>singer(s):s p balu","Indiramma inti peru song lyrics,Indiramma inti peru song lyrics,MAhatma movie lyrics,Sirivennela sitaramasasty song lyics,sreekanth movie lyrics,Vijay Antony music lyrics,mahatma(2009),vijay <span id=""il_ad5"" class=""il_ad"">antony</span>,sreekanth,bhavana,s p balu"
Apr 3,Neelapoori gaajula song lyrics – Mahatma(2009),Telugu Lyrics,"Neelapoori gaajula song lyrics<BR><BR><BR>neelapoori gaajula o neelaveni nilchunte krishnaveni..<BR>nuvu langa voni vesukoni nadusthuvunte niluvalere baalaamani..<BR>nadumu choosthe kandireega nadaka chusthe hamsa nadaka ninnu choodalene baalikaa..<BR>nee kallu choosi nee pallu choosi kaligenamma edo korikaa..neelapoori gaajula o neelaveni nilchunte krishnaveni..<BR>nuvu langa voni vesukoni nadusthuvunte niluvalere baalaamani..<BR>nadumu choosthe kandireega nadaka chusthe hamsa nadaka ninnu choodalene baalikaa..<BR>nee kallu choosi nee pallu choosi kaligenamma edo korikaa..nalla nallaani kurulani duvvi..ahaa<BR>thella thellaani mallelu thurimi..oho..<BR>chemanthi poolu pettukoni..ahaa..<BR>nee cheyyantha scentu poosukoni..oho..<BR>ollantha thippukuntu oyyaranga pothunte nilvadaaya naa praaname..<BR>neelapoori gaajula o neelaveni nilchunte krishnaveni..<BR>nuvu langa voni vesukoni nadusthuvunte niluvalere baalaamani..<BR>nadumu choosthe kandireega nadaka chusthe hamsa nadaka ninnu choodalene baalikaa..<BR>nee kallu choosi nee pallu choosi kaligenamma edo korikaa..nee choopullo undi mathhu soodi..aha..<BR>naa gundello guchhukunnadi..oho..<BR>nee matallo thupaaki thootaa..aha..<BR>abba jaaripoyenamma nee paita..oho..<BR>nee kongu chaatu andaalu choosi nenu aagamaithine..<BR>okkasaari thirigi choodave..<BR>neelapoori gaajula o neelaveni nilchunte krishnaveni..<BR>nuvu langa voni vesukoni nadusthuvunte niluvalene baalaamani..<BR>nadumu choosthe kandireega nadaka chusthe hamsa nadaka ninnu choodalene baalikaa..<BR>nee kallu choosi nee pallu choosi kaligenamma edo korikaa..<BR><BR><BR><BR>movie:mahatma(2009)<BR>music director:vijay antony<BR>star cast:sreekanth,bhavana<BR>singer(s):shyam","Neelapoori gaajula song lyrics,MAhatma movie lyrics,Neelapoori gaajula song lyrics,Sirivennela sitaramasasty song lyics,sreekanth movie lyrics,Vijay Antony music lyrics,mahatma(2009),vijay antony,sreekanth,bhavana,shyam"
Apr 3,Em Jaruguthondi song lyrics – Mahatma(2009),Telugu Lyrics,"Em Jaruguthondi song lyrics<BR><BR><BR>em jaruguthondi em jaruguthondi naa manasukivvaalaa..<BR>em vethukuthondi em vethukuthondi naa vayaseevelaa..<BR>hey.. nee edata niliche varaku aapadata tharime parugu..<BR>em panata thamatho thanaku thelusaa..<BR>nee venaka thirige kanulu choodavata vere kalalu..<BR>em maaya chesaavasalu sogasaa..em jaruguthondi em jaruguthondi naa manasukivvaalaa..<BR>em vethukuthondi em vethukuthondi naa vayaseevelaa..thalampulo padipothunte kanne vayasu kangaaru..<BR>arey arey antoo vachhi thodu nilabadu..<BR>pothhillallo pasipaapalle paathikella maga eedu..<BR>ekkekki em kaavalando adugu ammadu..<BR>aakasame aapaleni chinuku maadiri..<BR>neekosame dookuthondi chilipi laahiri..<BR>aavesame opaleni vedi oopiri..<BR>neetho.. saavasame korukundi aaduko mari..<BR>em jaruguthondi em jaruguthondi naa manasukivvaalaa..<BR>em vethukuthondi em vethukuthondi naa vayaseevelaa..this is the way to go..<BR>this is ecstacy<BR>this song is just awake mimicri<BR>feeling is so meant to be..<BR>toooooo…<BR>this in describable<BR>cant you see<BR>knocks me down yo<BR>baby cant believe<BR>just a survival destiny yo.ho..undundilaa ubikosthunde kammanaina kanneeru..<BR>theeyanaina gubulidi ante nammedevvaru..<BR>madhuramaina kaburandinde kalatha padaku bangaaru..<BR>pedavi thoti chekkili nimire chelimi haazaru..<BR>ganga laaga pongi raanaa prema sandramaa..<BR>neelo karigi anthamavanaa prana bandhamaa..<BR>anthuleni daaha mavanaa priya pravaahamaa..<BR>neetho kalisi poorthi avanaa modati snehamaa..em jaruguthondi em jaruguthondi naa manasukivvaalaa..<BR>em vethukuthondi em vethukuthondi naa vayaseevelaa..<BR>hey.. nee edata niliche varaku aapadata tharime parugu..<BR>em maaya chesaavasalu sogasaa..<BR>em jaruguthondi em jaruguthondi naa manasukivvaalaa..<BR>em vethukuthondi em vethukuthondi naa vayaseevelaa..<BR><BR><BR><BR>movie:mahatma(2009)<BR>music director:vijay antony<BR>star cast:sreekanth,bhavana<BR>singer(s):karthik,sangeetha","Em Jaruguthondi song lyrics,Em jaruguthondi song lyrics,MAhatma movie lyrics,Sirivennela sitaramasasty song lyics,sreekanth movie lyrics,Vijay Antony music lyrics,mahatma(2009),vijay antony,sreekanth,bhavana,karthiksangeetha"
Apr 2,Challa gaali thakuthunna Song lyrics – Yevade Subramanyam(2015),Telugu Lyrics,"Challa gaali thakuthunna Song lyrics<BR><BR><BR>challa gaali thakuthunna megamainadhi manasu ilaa<BR>nelakesi jaruthna jallu ayinadhi vayasu illa<BR>endhukanta entha dhagaa<BR>ninna mona ledhu kadha<BR>undi undi nemadhiga<BR>nannu eto laguthundha<BR>padhame thapinchukolenani<BR>thochetatu chesthundha aa..challa gaali thakuthunna megamainadhi manasu ilaa<BR>nelakesi jaruthna jallu ayinadhi vayasu illayevaro annarani maraave nalo assalu<BR>yevaremanarani pongene evvo oohalu<BR>yevaro annarani maraave nalo assalu<BR>yevaremanarani pongene evvo oohalu<BR>theeram thelisaka ika dharini marchala<BR>dharulu sariayina verey theeram cherana<BR>nadakalu navena nadichedhi nenenachalla gaali thakuthunna megamainadhi manasu ilaa<BR>nelakesi jaruthna jallu ayinadhi vayasu illaenthaga vadhantuna agadhe aathram yemito<BR>enthaga pongetantha avasaram<BR>yemo endhuko..<BR>ayina yemmayina yedha naa cheyijarindhi<BR>epudo yenado preme neram kadhandhe<BR>chelime inkola chiguristhundhantechalla gaali thakuthunna megamainadhi manasu ilaa<BR>nelakesi jaruthna jallu ayinadhi vayasu illa<BR><BR><BR><BR>movie:yevade subramanyam(2015)<BR>music director:radhan<BR>star cast:nani,malavika nair,vijay devarakonda,ritu varma<BR>singer(s):rihitha,senthil","Challa gaali thakuthunna Song lyrics,Anantha Sriram song lyrics,Challa gaali song lyrics,Nani movie lyrics,Radhan music lyrics,Yevade Subramanyam movie lyrics,yevade subramanyam(2015),radhan,nanimalavika nairvijay devarakondaritu varma,rihithasenthil"
Apr 2,O kala song lyrics – Yevade Subramanyam(2015),Telugu Lyrics,"O kala song lyrics<BR><BR><BR>o kala o kala choodake aala..<BR>hey ila nee vala allithe ela..<BR>maro prapanchame..alaa varinchaga<BR>parugulu these naa yedhaki<BR>nilakada nerpedela..<BR>kuduruga unte manchidani venakaki laggedhelao kala o kala choodake aala..kannule vethike veluthuru needani<BR>ipude ipude thelisinadi<BR>tanane piliche pilupulu neevani<BR>vayasipude thelchukunadi<BR>niduraki cherithe jola nuvve<BR>melukuva vachhina eduta nuvve<BR>ika ninu veedatam ela.. adhela.o kala o kala choodake aala..edama kudilo evaru lerani<BR>vanike pedavi palikinadhi<BR>nijame palike choravani cheymani<BR>nasiginadhi nanchakannadhi<BR>manasuki cheruva prathi okaru<BR>manakika dhooramai ani bedhuru<BR>mari ninnu cheradam ela.. adhela..<BR>o kala o kala choodake aala..<BR><BR><BR><BR>movie:yevade subramanyam(2015)<BR>music director:radhan<BR>star cast:nani,malavika nair,vijay devarakonda,ritu varma<BR>singer(s):harini","O kala song lyrics,Anantha Sriram song lyrics,Nani movie lyrics,O kala song lyrics,Radhan music lyrics,Yevade Subramanyam movie lyrics,yevade subramanyam(2015),radhan,nanimalavika nairvijay devarakondaritu varma,harini"
Apr 2,Nuvvu Nuvvu kadu song lyrics – Yevade Subramanyam(2015),Telugu Lyrics,"Nuvvu Nuvvu kadu song lyrics<BR><BR><BR>addam lo ninu choosuko<BR>ninne nuvvu prashninchu ko<BR>nuvvevvaro telusuko<BR>oo.. who are you..son of siva kailasam<BR>my name is subramanyam<BR>business hai mera kaam<BR>all around naade dhoom dhaam<BR>vegam naa vedantam..<BR>gelavadam ey naa sidhantam<BR>now you know who i am<BR>no no no no<BR>nuvvu nuvvu kaadu<BR>vethakanide javabu raadhu<BR>manasuni lens petti<BR>zara aara teesi<BR>gurtinchu nuvvevaruno no no no<BR>ooru peru kadu<BR>kanabadu oddu podavu kaadu<BR>masakala poralu daati<BR>nee loniki choosi<BR>raabattuko answerumulticrore company ki<BR>would be owner ni<BR>naa ki artham leni<BR>questions endukani<BR>always nene number one avalani<BR>day and night paruge parugu<BR>daily na pani<BR>ayyo rama break ey leni ni journey<BR>raii antondi halt ey ledani<BR>edo chota katteyande gurranni<BR>neeke nuvvu telise deppudu anina route ento fate ento<BR>chereti height ento<BR>anni telisina super subbu nieverytime nanne nenu odistu unta<BR>pai pai ethulloki perigipotunta<BR>right o wrong o<BR>naaku akkarledanta<BR>korukundi pondatam<BR>naa birth right antaaakasam lo janda paathe tondarlo<BR>nee veru moolam miss aithe etta..<BR>nakshatralni beram chese sandattlo<BR>gallo meydalu kattavo tanta<BR>neene chota unnano<BR>aa chotey naakishtam<BR>ekkadunchi vasthe entatano no no no<BR>nuvvu nuvvu kaadu<BR>vethakanide javabu raadhu<BR>manasuni lens petti<BR>zara aara teesi<BR>gurtinchu nuvvevaruno no no no<BR>ooru peru kadu<BR>kanabadu oddu podavu kaadu<BR>masakala poralu daati<BR>nee loniki choosi<BR>raabattuko answeru<BR><BR><BR><BR>movie:yevade subramanyam(2015)<BR>music director:radhan<BR>star cast:nani,malavika nair,vijay devarakonda,ritu varma<BR>singer(s):ramya,rohith","Nuvvu Nuvvu kadu song lyrics,Nani movie lyrics,Nuvvu nuvvu song lyrics,Radhan music lyrics,Ramajogayya Sastry Song lyrics,Yevade Subramanyam movie lyrics,yevade subramanyam(2015),radhan,nanimalavika nairvijay devarakondaritu varma,ramya,rohith"
Apr 2,O manishi song lyrics – Yevade Subramanyam(2015),Telugu Lyrics,"O manishi song lyrics<BR><BR><BR>aaa.. aaa.. aa..o manishi o maharshi kanipinchindha uddayam<BR>o manishi o anveshi veluge andha hrudayam<BR>anandam kanneerai jaarina kshanamindhi<BR>nalupantha matumaayam ayinadhi<BR>ee pranam ee roje marala oopiri pondhi<BR>thanevaro kanugonadhi<BR>idhera idhera gelupante idhera<BR>andhisthu pondhavo brathuku antha preme ravadhalanidhe nee swardam<BR>kanubaduna paramaardham<BR>mansulanu, gelichedhi prema kadha<BR>preme maanavatvam, preme daiva tatvam<BR>jeevinchetti daare idhiidhera idhera gelupante idhera<BR>andhisthu pondhavo brathuku antha preme rayedha sadilo nijam undhi<BR>kannu thadilo nijam undhi<BR>adugadugu guddi undhi prathi manishilo<BR>nivedhinchu praanam daivamtho prayanam<BR>saagisthundhi nee jeevithamidhera idhera gelupante idhera<BR>andhisthu pondhavo brathukantha preme rao manishi o maharshi kanipinchindha uddayamo manishi o anveshi veluge andha hrudayam<BR><BR><BR><BR>movie:yevade subramanyam(2015)<BR>music director:radhan<BR>star cast:nani,malavika nair,vijay devarakonda,ritu varma<BR>singer(s):mohit chauhan","O manishi song lyrics,Nani movie lyrics,O Manishi song lyrics,Radhan music lyrics,Vasishta Sharma song lyrics,Yevade Subramanyam movie lyrics,yevade subramanyam(2015),radhan,nanimalavika nairvijay devarakondaritu varma,mohit chauhan"
Apr 2,Beautiful zindagi song lyrics – Yevade Subramanyam(2015),Telugu Lyrics,"Beautiful zindagi song lyrics<BR><BR><BR>janthar manthar jaadhulanni cheseynaa nee painaa<BR>sorrow geero lanni zero gaa yitte maarcheynaa<BR>sunday monday rojedhainaa thamaashaa karonaa<BR>life is full of wonders anni enjoy chey antunnaachinni life -u lona gol maal golalani endhuko endhuko<BR>chinni chinni aashalanni chindhu lesi nuvvu andhuko andhuko<BR>putte mundhu levu tensions ye<BR>lite theesukunte anni bindhaas yepal pal khushini nuv panchu kunte<BR>everyday kaada kalla mundu colorful daybeautiful beautiful zindhagi<BR>okkate undhi gaa ee kshanam needhi raa<BR>beautiful beautiful beautiful zindhagi<BR>aagadhe joru gaa enjoy chey ranacchinattunte nuvve chuttu vunde yee lokam<BR>okkatai ninne mecchukuntundhe venta vashtundhe<BR>cheyi andhisthe nuvve cheeradeesthundhe sneham<BR>neeku thodavthu needagaa vuntu veedi podhantheek dho theen chaar pal bas hai yaar<BR>life is too short so think with your heart<BR>panchesthu pyaar saagoy dildhaar<BR>oh cherigi poni gnaapakaanivai migalaligaabeautiful beautiful zindhagi<BR>okkate undhi gaa ee kshanam needhi raa<BR>beautiful beautiful beautiful zindhagiaagadhe joru gaa enjoy chey ra<BR><BR><BR><BR>movie:yevade subramanyam(2015)<BR>music director:radhan<BR>star cast:nani,malavika nair,vijay devarakonda,ritu varma<BR>singer(s):nikhitha gandhi","Beautiful zindagi song lyrics,Beautiful Zindagi song lyrics,Nani movie lyrics,Radhan music lyrics,Vasishta Sharma song lyrics,Yevade Subramanyam movie lyrics,yevade subramanyam(2015),radhan,nanimalavika nairvijay devarakondaritu varma,nikhitha gandhi"
Apr 1,Lucky lucky song lyrics – Daddy(2001),Telugu Lyrics,"Lucky lucky song lyrics<BR><BR><BR>lucky lucky enthentho lucky<BR>ee lokamlo puttadadame lucky<BR>lucky kucky enthentho lucky<BR>ee lokamlo puttadadame lucky<BR>vandellaki nee oopiri poda kondekki<BR>veyyellaina velagale varthallokekkiaadu aadinchu paadu padinchu navvu navvinchu<BR>nuvu naduvu nadipichu<BR>aadu aadinchu paadu padinchu navvu navvinchu<BR>nuvu naduvu nadipichulucky lucky enthentho lucky<BR>ee lokamlo puttadadame lucky.. yaadrushtaniki tata cheppei<BR>nee kashtaniki kota penchei<BR>aavesaniki bye bye cheppei<BR>anuraagaaniki bhagam panchei<BR>manaloni gundeku porugodi gundeku<BR>nadi madhya godalu kattoddoy<BR>manasunna chethi tho pakkodi champapai<BR>kanneella jhalulu thudavaloy<BR>andarikosam aalochinchu aanadinchu<BR>aadu aadinchu paadu padinchu navvu navvinchu<BR>nuvu naduvu nadipichulucky lucky enthentho lucky<BR>ee lokamlo puttadadame lucky.. yeahbombulu leni jagathini chuddam<BR>badhalleni brathukulu chuddam<BR>cheekati leni gadapalu chuddam<BR>aakali leni kadupulu chuddam<BR>neraale thakkuvai khaideele undani<BR>sari kottha jaillani choodaloy<BR>bhagavathu maayamai mamatheymo daivamai<BR>kuluvunna gullanu chudaloy<BR>aasalu anni nijamayyela nadume vanchu<BR>aadu aadinchu paadu padinchu navvu navvinchu<BR>nuvu naduvu nadipichulucky lucky enthentho lucky<BR>ee lokamlo puttadadame lucky<BR>lucky kucky enthentho lucky<BR>ee lokamlo puttadadame lucky<BR>vandellaki nee oopiri poda kondekki<BR>veyyellaina velagale varthallokekkiaadu aadinchu paadu padinchu navvu navvinchu<BR>nuvu naduvu nadipichu<BR>aadu aadinchu paadu padinchu navvu navvinchu<BR>nuvu naduvu nadipichu<BR><BR><BR><BR>movie:daddy(2001)<BR>music director:s a rajkumar<BR>star cast:chiranjeevi,simran<BR>singer(s):shankar mahadevan","Lucky lucky song lyrics,Chandra bose song lyrics,Chiranjeevi movie lyrics,Daddy movie lyrics,Lucky lucky song lyrics,S A Raj kumar music lyrics,daddy(2001),s a rajkumar,chiranjeevi,simran,shankar mahadevan"
