Date,Title,Categories,Lyrics,Tag
"​benny blanco, Blake Slatkin & 1 more","Bad decisions Lyrics - August 5, 2022",English Lyrics,"Bad decisions Lyrics - August 5, 2022 <BR><BR><BR>[Intro: Snoop Dogg]<BR>Radio station B-T-S-N-double O-P<BR>[Verse 1: Jung Kook & Jimin]<BR>No makeup on, I love that sh—<BR>You're so damn beautiful, I swear you make me sick<BR>I want your love, I want your name<BR>Inside my heart, there's nothin' but a burning flame<BR>[Pre-Chorus: V]<BR>If you want my love<BR>Come a little bit closer<BR>Don't make me wait<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Chorus: Jung Kook, Jimin, Jin & V]<BR>Let's make some bad decisions<BR>I want you, ooh, baby, all of the time<BR>So give me all your kisses<BR>I want you Monday, Tuesday, Wednesday, baby, every night<BR>And it feels like (Ooh, ah)<BR>I can't seem to ever get you out of my mind<BR>And it feels like (Ooh, ah)<BR>I want you, ooh, baby, all of the time<BR>[Verse 2: Snoop Dogg & Jung Kook]<BR>Everybody see me lookin' fly (Oh, yeah)<BR>And I think I know the reason why (Oh, yeah)<BR>'Cause I got you right here by my side (Oh, yeah)<BR>And I can't let you just walk away<BR>If I ain't with ya, I'm not okay<BR>[Pre-Chorus: Jin & Snoop Dogg]<BR>If you want my love (Yeah)<BR>Come a little bit closer<BR>Don't make me wait (Ooh)<BR>[Chorus: Jimin, V, Snoop Dogg, Jung Kook & *Jin*]<BR>Let's make some bad decisions<BR>I want you, ooh, baby, all of the time<BR>So give me all your kisses (Kisses)<BR>I want you Monday, Tuesday, Wednesday, baby, every night (Every night)<BR>And it feels like (Ooh, ah, yeah)<BR>I can't seem to ever get you out of my mind<BR>*And it feels like* (Ooh, ah)<BR>*I want you, ooh, baby, all of the time*<BR><BR><BR><BR>Produced By:​benny blanco, Blake Slatkin & Cashmere Cat<BR>Written By:​benny blanco, Mike Posner, Blake Slatkin, Cashmere Cat & Snoop Dogg<BR>Recording Engineer:​benny blanco<BR>Keyboard:​benny blanco, Blake Slatkin & Cashmere Cat<BR>Mixing Engineer:Șerban Ghenea<BR>Programmer:​benny blanco, Blake Slatkin & Cashmere Cat<BR>Guitar:Mike Posner<BR>Additional Vocals:​benny blanco & Mike Posner<BR>Label:Friends Keep Secrets & Interscope Records<BR>Video Director:Ben Sinclair<BR>Video Producer:Mackenzie Emiko Berkman<BR>Vocals:Jung Kook (정국), Jimin (지민), V (뷔), Jin (진) & Snoop Dogg<BR>Primary Artists:​benny blanco, BTS & Snoop Dogg<BR>Release Date:August 5, 2022","Bad decisions Lyrics - August 5, 2022,Pop,Rap,K-Pop (케이팝),Electronic,Electro-Pop,Pop Rap,Synthwave,Synth-Pop,West Coast,Boy Band,South Korea,Genius Korea"
"Matthew Healy, George Daniel & 1 more","Happiness Lyrics - August 3, 2022",English Lyrics,"Happiness Lyrics - August 3, 2022 <BR><BR><BR>[Intro]<BR>Confidence is comical<BR>An' I'm, an' I'm happy<BR>That's what I like<BR>I'm happiest when I'm doing something that I know is good<BR>That's happiness for me<BR>I'm happiest when I'm doing something that I know is good<BR>That's happiness for me<BR>[Verse 1]<BR>She showed me what love is<BR>I'm actin' like I know myself<BR>Oh, in case you didn't notice<BR>Oh, oh, I would go blind just to see you<BR>I'd go too far just to have you near<BR>In my soul, I've got this feeling I<BR>Didn't know it 'til I seen ya<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Break]<BR>My, my, my, oh<BR>My, my, my, you<BR>Mind my mind, you<BR>Mind my mind, oh<BR>My, my, my, you<BR>Mind my mind, oh<BR>My, my, my, she's insatiable, it's what she is<BR>[Verse 2]<BR>Her body's like a modern art<BR>Take it out in front of me<BR>I've gotta stop messin' it up because I'm<BR>Feelin' like I'm messin' it up because I'm<BR>Callin' out your name and God help me 'cause<BR>Oh, I'm never gonna love again, hey<BR>I'm never gonna love again, hey, oh<BR>[Chorus]<BR>Show me your love, why don't you?<BR>Grow up and see<BR>Show me your love, why don't you?<BR>Grow up and see<BR>Show me your love, why don't you?<BR>Grow up and see<BR>Show me your love, why don't you?<BR><BR><BR><BR>Produced By:Matthew Healy, George Daniel & Jack Antonoff<BR>Written By:George Daniel, Matthew Healy, Jenifer Starar & Stephen Ellen Starar<BR>Vocals:Matthew Healy<BR>Guitar:Adam Hann & Matthew Healy<BR>Bass:Ross MacDonald<BR>Drums:George Daniel<BR>Programmer:George Daniel<BR>Mixing Engineer:Chris Galland & Manny Marroquin<BR>Mastering Engineer:Robin Schmidt<BR>Label:Dirty Hit<BR>Release Date:August 3, 2022<BR>Happiness Remixes:Happiness (Dance Floor Edit) by The 1975","Happiness Lyrics - August 3, 2022,Pop,Rock,Funk Rock,Funk-Pop,Funk,Synth Rock,Synth-Pop,Synth Funk,Pop-Rock,New Wave,UK"
Aarne,"Тесно (tight) Lyrics - August 5, 2022",English Lyrics,"Тесно (tight) Lyrics - August 5, 2022 <BR><BR><BR>[Текст песни «Тесно»]<BR>[Интро: ANIKV & BUSHIDO ZHO]<BR>Хотя бы раз давай будем честны:<BR>Нам тесно быть вместе<BR>Хотя бы раз давай будем честны: (Damn, Aarne goin' crazy on these motherf—)<BR>Нам тесно быть вместе (По-по-по-по, ыр)<BR>[Припев: ANIKV & BUSHIDO ZHO]<BR>Хотя бы раз давай будем честны:<BR>Нам тесно (Go) быть вместе (По-по-по)<BR>Хотя бы раз давай будем честны:<BR>Нам тесно (Go) быть вместе (По-по-по)<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Куплет 1: BUSHIDO ZHO]<BR>(А) Йоу, нам тесно быть вместе<BR>Я больше никогда не назову тебя bestie (Факты-факты-факты)<BR>Нам тесно быть вместе<BR>Мои мозги кипят, если говорить без лести (Факты-факты-факты)<BR>Нам тесно быть вместе<BR>Я больше не сяду рядом с тобой в этом ресте (Факты-факты-факты)<BR>Нам тесно быть вместе<BR>Сука, пойми, нам тесно быть вместе (Go)<BR>Мне так не по кайфу, сука, пойми (У)<BR>Вижу только числа, я типа в IT, эй (Р-ра)<BR>Сижу перед микро в своей white tee (Гэнг)<BR>Мне так не по кайфу, сука, пойми<BR>[Бридж: BUSHIDO ZHO]<BR>А, а, не делай мне мозг (Не делай мне мозг)<BR>Хотя бы раз не делай мне мозг (А, а)<BR>Не делай мне мозг<BR>Бля, хотя бы раз не делай мне мозг (По-по-по, go)<BR>[Припев: ANIKV & BUSHIDO ZHO]<BR>Хотя бы раз давай будем честны:<BR>Нам тесно быть вместе (Эй, эй, go)<BR>Хотя бы раз давай будем честны:<BR>Нам тесно быть вместе (Пау, по-по-по, ыр, go)<BR><BR><BR><BR>Produced By:Aarne<BR>Written By:Aarne, BUSHIDO ZHO & ANIKV<BR>Artwork:Saladfuckingod<BR>Distributor:Believe Music<BR>Primary Artists:Aarne, BUSHIDO ZHO & ANIKV<BR>Mastering Engineer:Jahkarta<BR>Mixing Engineer:Jahkarta<BR>Copyright:AA Team<BR>Release Date:August 5, 2022","Тесно (tight) Lyrics - August 5, 2022,Rap,UK Garage,Русский рэп (Russian Rap),Россия (Russia)"
Palagin,"Сколько стоит любовь (how much love) Lyrics - August 4, 2022",English Lyrics,"Сколько стоит любовь (how much love) Lyrics - August 4, 2022 <BR><BR><BR>[Текст песни «СКОЛЬКО СТОИТ ЛЮБОВЬ»]<BR>[Интро: The Limba]<BR>Как мне быть? Поверь, так больно мне<BR>Я не хочу любить, если это не ты<BR>Я никогда уже не буду счастлив так<BR>Ты не дала мне жить с тобой и без тебя<BR>Скажи мне, кто, если не я, сможет так же полюбить тебя?<BR>Скажи мне, детка, кто, если не ты, сможет так же погубить меня? А-а<BR>[Куплет 1: Boombl4]<BR>Мой первый турнир, наша первая встреча<BR>Но главный мой приз — это наш с тобой вечер<BR>Как увидел тебя, поздоровался снизу<BR>Ты такая одна, ты моя Мона Лиза<BR>Ты носишь Saint Laurent, но тебя нельзя назвать святой<BR>Это наша love, шалава может стать женой<BR>Влюбила пацана, зачем я выиграл тот Major?<BR>Но в сердце навсегда теперь останется минор<BR><BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Бридж: Boombl4]<BR>Такого, как я, поищет пусть, р-р-рождённый любить<BR>Двадцать восемь лям на pussy, мне чуть больше двадцати<BR>Такого, как я, поищет пусть, р-р-рождённый любить<BR>Двадцать восемь лям на pussy, мне чуть больше двадцати<BR><BR>[Припев: The Limba & Boombl4]<BR>И я хотел поверить в любовь<BR>Но я теперь не верю в любовь<BR>Теперь никто не дружит со мной<BR>Мой лучший друг теперь алкоголь<BR>Сколько стоит любовь? Сколько стоит любовь?<BR>Сколько стоит любовь? Двадцать восемь мультов<BR>Сколько стоит любовь? Сколько стоит любовь?<BR>Сколько стоит любовь? Двадцать восемь мультов<BR><BR>[Куплет 2: MORGENSHTERN]<BR>Я тебя заказал, будто ты KFC<BR>Я влюбился в тебя, кончил и разлюбил<BR>Я тебя уебу, будто мы в UFC<BR>Не забуду тебя, ты моя… Бля, забыл<BR>Да, я напиздел, что навсегда<BR>На моём лице другая пизда<BR>В тебе вчетвером, будто Каста<BR>Пиздатая сука, как Лобода<BR>Окей, е-е-е<BR>Забери все мои бабки<BR>А, не, точнее, токо тыщу<BR>На больше ты не насосала<BR><BR><BR><BR>Produced By:Palagin<BR>Written By:MORGENSHTERN, The Limba, NILETTO & Palagin<BR>Primary Artists:MORGENSHTERN, The Limba, NILETTO & Boombl4<BR>Copyright:Zion Music<BR>Label:Zion Music<BR>Distributor:Zion Music<BR>Mixing Engineer:Palagin<BR>Mastering Engineer:Palagin<BR>Release Date:August 4, 2022","Сколько стоит любовь (how much love) Lyrics - August 4, 2022,Rap,Pop,ҚАЗАҚСТАНДЫҚ РЭП (KAZAKHSTANI RAP),Русский рэп (Russian Rap),Қазақстан (Kazakhstan),Русский поп (Russian Pop),Россия (Russia)"
Drake & Lil Baby,"Staying alive Lyrics - August 5, 2022",English Lyrics,"Staying alive Lyrics - August 5, 2022 <BR><BR><BR>[Chorus: Drake & DJ Khaled]<BR>Try me a hunnid times<BR>Wanted me to lie, wanted me to cry, wanted me to die (Real life)<BR>Ah, ah, ah, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive<BR>Another one, yeah<BR>Try me a hunnid times<BR>Wanted me to lie, wanted me to cry, wanted me to die (DJ Khaled)<BR>Ah, ah, ah, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive<BR><BR>[Verse 1: Drake]<BR>How she in love and she been over once?<BR>It's not like I known her for months<BR>This life, it allowed me to take what I want<BR>It's not like I know what I want<BR>It's not like I know what I need<BR>I get some time, but there's no guarantees<BR>When I was broke, she was bein' a tease<BR>Four pockets full, now she down on her knees<BR>Woah, woah, woah-ooh, woah<BR>Baby gon' hit it and send her to me, yeah<BR>Or I'ma hit it and send it to Baby<BR>That's how I'm givin', this life get too crazy<BR>Woah, woah, for real, for real, woah<BR>They tryna seal the deal, see me up under the sheet<BR>Parading the streets, yeah<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Chorus: Drake & Lil Baby]<BR>Try me a hunnid times<BR>Wanted me to lie, wanted me to cry, wanted me to die<BR>Ah, ah, ah, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive<BR>Yeah<BR>Try me a hunnid times<BR>Wanted me to lie, wanted me to cry, wanted me to die<BR>Ah, ah, ah, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive, for real (Oh, yeah)<BR>For real, for real<BR>[Verse 2: Lil Baby]<BR>I put my feelings aside, you want me to die? But baby, I'm stayin' alive<BR>'Posed to be one of a kind, you puttin' no miles, I thought you was down for the ride<BR>I'm tryna turn up her style, we goin' Chanel, she get everything in her size<BR>She in some shit with another guy, I don't even care, whenever I see you, you mine<BR>Drizzy hit her then he send her to me<BR>I don't talk, definition of P<BR>Hood nigga turned superstar, but I fuck her good like I'm still in the streets<BR>No response, you can see that I read it<BR>I'm with all, they won't ever go read it<BR>She be happy if I fell off, and I'm still there, they're gon' have to accept it<BR>[Chorus: Drake & Lil Baby]<BR>Try me a hunnid times<BR>Wanted me to lie, wanted me to cry, wanted me to die<BR>Ah, ah, ah, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive<BR>Try me a hunnid times<BR>Wanted me to lie, wanted me to cry, wanted me to die (Wanted me to die)<BR>Ah, ah, ah, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive, for real<BR>For real, for real<BR><BR><BR><BR>Featuring:Drake & Lil Baby<BR>Produced By:Nyan (Producer) & Tim Suby<BR>Written By:DJ Khaled, Drake, Lil Baby, Nyan (Producer), Tim Suby, Barry Gibb, Maurice Gibb & Robin Gibb<BR>Co-Producer:Tim Suby<BR>Recording Engineer:Noel Cadastre<BR>Video Director:Rt<BR>Copyright:We The Best Music, Epic Records & Sony Music Entertainment<BR>Release Date:August 5, 2022","Staying alive Lyrics - August 5, 2022,Rap,Atlanta Rap,Canada,Trap"
"Dr. Dre, Trevor Lawrence Jr. & 1 more","Is this love (’09) Lyrics - August 5, 2022",English Lyrics,"Is this love (’09) Lyrics - August 5, 2022 <BR><BR><BR>[Intro: Eminem]<BR>R-I-P to R-A-P<BR>E-M-I-N-E-M's back with the D-R-E, and I'm the<BR>[Verse 1: Eminem]<BR>S-L-I-M (What?) S-H-A-D-Y (Woo)<BR>I'm H-I-G-H (Yeah), yeah, baby, high (Ha)<BR>And not afraid of heights<BR>, and the B-O-D-Y<BR>Is C-R to the A-Z-Y, the G-U-Y<BR>With the mother-F-U-C-K I-N<BR>C-H-A-I-N-S-A-W and the W-A-I-S-K-E-Y<BR>And I don't wanna trouble you, wait<BR>But before you skate, I'd like to try to break the ice<BR>Like a frozen lake, so you'll fall, stay the night<BR>Say, like eight or nine<BR>'Cause on a scale of one to ten, that's how I rate your vibe<BR>Let me be your vibrator (Get it?)<BR>Your body's slammin' like André the Giant<BR>Two wrongs make a right<BR>Let me take you by the arm, I'm alligator-like (Bite her arm)<BR>Gal, I waited all my life for you, heart is racin' like Talladega Nights<BR>Sick minds think alike, girl, you got me singin', like<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Chorus: Eminem & Sly Pyper, Both]<BR>Girl, I've been watchin' what you do<BR>Baby, I ain't never met a woman quite like you (Like you)<BR>So tell me what I gotta do<BR>I've never been with a virgin, but I'd sure like to (Yeah)<BR>Is this love that I'm feelin'? (That I'm feelin')<BR>How do I describe the vibe that I'm feelin' inside?<BR>I'm in the mood for sexual healin' (I'm fallin')<BR>[Verse 2: Eminem & 50 Cent]<BR>Girl, I'm diggin' your whole MO<BR>Give me a go, you're throwin' innuendos<BR>Keep sendin' me smoke signals (Yeah)<BR>Everything's movin', spinning in slow M-O<BR>T-I-O-N now anything goes, earlobe<BR>Nibbling, so gentle, then we disrobe, she goes<BR>Emily Rose, middle of givin' me dome, she froze<BR>Literally goes mental, screams she's broke, fragile<BR>Empty and so brittle, Henny and Coke<BR>Can make women emotional<BR>Told her she ain't just some twenty-some year old bimbo<BR>Then we indulged in so many of those benzos<BR>That I proposed, then gave the strippers a pole<BR>""Finish me, ma!"" Then dose, then we awoke<BR>Like, ""Yo, did we elope?"" Give me a Jolt<BR>My mind's blank, I'm sipping in hopes it'll<BR>Jog it, I thought this was a memory foam pillow<BR>Then why the fuck are we remembering so little?<BR><BR><BR><BR>Produced By:Dr. Dre, Trevor Lawrence Jr. & Mark Batson<BR>Written By:Eminem, 50 Cent, Luis Resto, Mark Batson, Trevor Lawrence Jr. & Sly Pyper<BR>Primary Artists:Eminem & 50 Cent<BR>Publisher:W.B. Music Corp. (ASCAP), Ain’t Nothin’ Goin’ on but Funkin’, Universal Music Group, 50 Cent Music Publishing, Que Chevere Music, Bat Future Music & F...<BR>Mastering Engineer:Brian Gardner<BR>Mixing Engineer:Mike Strange<BR>Assistant Engineer:Robert Reyes<BR>Engineer:Mauricio Iragorri, Victor Luevaunos, Mike Strange & Tony Campana<BR>Label:Interscope Records, Aftermath Entertainment & Shady Records<BR>Copyright:Eminem<BR>Release Date:August 5, 2022","Is this love (’09) Lyrics - August 5, 2022,Rap,Hip-Hop,New York,Hardcore Hip-Hop,Detroit,Unreleased"
Kate Bush,"Running up that hill (a deal with god) Lyrics - August 5, 1985",English Lyrics,"Running up that hill (a deal with god) Lyrics - August 5, 1985 <BR><BR><BR>[Verse 1]<BR>It doesn't hurt me (Ye-yeah, yeah, yo)<BR>Do you want to feel how it feels? (Ye-yeah, yeah, yo)<BR>Do you want to know, know that it doesn't hurt me? (Ye-yeah, yeah, yo)<BR>Do you want to hear about the deal that I'm making? (Ye-yeah, yeah, yo)<BR><BR>[Pre-Chorus]<BR>You<BR>It's you and me<BR>[Chorus]<BR>And if I only could<BR>I'd make a deal with God<BR>And I'd get him to swap our places<BR>Be running up that road<BR>Be running up that hill<BR>Be running up that building<BR>Say, if I only could, oh<BR><BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Verse 2]<BR>You don't wanna hurt me (Ye-yeah, yeah, yo)<BR>But see how deep the bullet lies (Ye-yeah, yeah, yo)<BR>Unaware, I'm tearing you asunder (Ye-yeah, yeah, yo)<BR>Oh, there is thunder in our hearts (Ye-yeah, yeah, yo)<BR>Is there so much hate for the ones we love? (Ye-yeah, yeah, yo)<BR>Oh, tell me, we both matter, don't we? (Ye-yeah, yeah, yo)<BR><BR>[Pre-Chorus]<BR>You<BR>It's you and me<BR>It's you and me, won't be unhappy<BR>[Chorus]<BR>And if I only could<BR>I'd make a deal with God<BR>And I'd get him to swap our places<BR>Be running up that road<BR>Be running up that hill<BR>Be running up that building (Ye-yo)<BR>Say, if I only could, oh<BR><BR>[Pre-Chorus]<BR>You (Ye-yeah, yeah, yo)<BR>It's you and me<BR>It's you and me, won't be unhappy (Ye-yeah, yeah, yo)<BR><BR><BR><BR>Produced By:Kate Bush<BR>Written By:Kate Bush<BR>Performance Rights:BMI<BR>Licensing:LatinAutor - UMPG, Universal Music Group, UBEM, LatinAutor - SonyATV, CMRRA, BMI, LatinAutorPerf, SOLAR Music Rights Management, LatinAutor, Sony Musi...<BR>Video Director:David Garfath<BR>Label:EMI (Label)<BR>Remastering Engineer:James Guthrie, Kate Bush & Chris Blair<BR>Artwork:Bill Smith Studio<BR>Photography:John Carder Bush<BR>Lyricist:Kate Bush<BR>Vocals:Kate Bush<BR>Keyboards:Kate Bush<BR>Balalaika:Paddy Bush<BR>Bass:Del Palmer<BR>Drums:Stuart Elliott<BR>Publisher:EMI Music Publishing Group & Noble and Brite Ltd.<BR>Guitar:Alan Murphy<BR>Mastering Engineer:Ian Cooper<BR>Mixing Engineer:Brian Tench<BR>Assistant Engineer:Pearse Dunne<BR>Engineer:Del Palmer, Bill Somerville-Large, Brian Tench, Haydn Bendall, James Guthrie, Nigel Walker & Paul Hardiman<BR>Programmer:Del Palmer<BR>Recorded At:Wickham Farm Home Studio<BR>Release Date:August 5, 1985","Running up that hill (a deal with god) Lyrics - August 5, 1985,Pop,Rock,Avant Garde,Art Rock,Adult Contemporary,Baroque Pop,Singer-Songwriter,Alternative Pop,Alternative,Avant-Pop,Pop-Rock,Adult Alternative,Eighties,British Rock,UK,Synth-Pop,New Wave,Art Pop"
Jowan & Sky Rompiendo,"Si te la encuentras por ahí Lyrics - August 4, 2022",English Lyrics,"Si te la encuentras por ahí Lyrics - August 4, 2022 <BR><BR><BR>[Letra de ""Si Te La Encuentras Por Ahí""]<BR>[Coro]<BR>Si te la encuentras por ahí, dile que me tiene mal<BR>No sé si todavía piensa en mí porque borracha no ha vuelto a llamar<BR>La vieron en un party contigo llorando, quiero saber cómo está<BR>Dile que la extraño y que no quiero a nadie más<BR>Por si te la encuentra' por ahí, dile que me tiene mal<BR>No sé si todavía piensa en mí porque borracha no ha vuelto a llamar<BR>La vieron en un party contigo, dime ya cómo está, yeah<BR>Baby, dile que la extraño, que no quiero a nadie más, yeah<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Verso]<BR>Ya no llama pa' que le meta<BR>Pasé por tu casa wheeleando la YZ<BR>Hace tiempo el miedo lo dejé en la gaveta<BR>Te tengo en mi cora como en un punto en la seta<BR>Fui-Fui pa' Medallo pa' ver si te veía<BR>Estaba en Miami pensando que eras mía<BR>Nuestras bellaquera', nuestras amanecía'<BR>Ahora estamos a lo pillo y policía<BR>Bebé, no te encuentro<BR>Sé que soy un cabrón, pero así de cabrón también siento<BR>Dígale que lo siento<BR>[Coro]<BR>Si te la encuentras por ahí, dile que me tiene mal<BR>No sé si todavía piensa en mí porque borracha no ha vuelto a llamar<BR>La vieron en un party contigo llorando, quiero saber cómo está<BR>Dile que la extraño y que no quiero a nadie más<BR>Por si te la encuentra' por ahí, dile que me tiene mal<BR>No sé si todavía piensa en mí porque borracha no ha vuelto a llamar<BR>La vieron en un party contigo, dime ya cómo está, yeah<BR>Baby, dile que la extraño, que no quiero a nadie más, yeah<BR>[Outro Instrumental]<BR><BR><BR><BR>Produced By:Jowan & Sky Rompiendo<BR>Written By:Feid, Rios, Jowan, Rolo, Sky Rompiendo & Wain<BR>A&R Administrator:Rodolfo Ramos<BR>A&R:Aldo The Master<BR>Copyright:Universal Music Group<BR>Mastering Engineer:Mosty<BR>Mixing Engineer:Wain<BR>Video Director:Sebas Sánchez<BR>Label:In-Tu Línea, Universal Music Group & Universal Music Latino<BR>Release Date:August 4, 2022","Si te la encuentras por ahí Lyrics - August 4, 2022,Pop,Reggaetón,Colombia,En Español,Latin Pop,Latin Urban,Latin Music"
"Beyoncé, Sevn Thomas & 7 more","Heated Lyrics - July 29, 2022",English Lyrics,"Heated Lyrics - July 29, 2022 <BR><BR><BR>[Intro]<BR>(Got a lot of bands, got a lot of Hermès on me)<BR><BR>[Chorus]<BR>Got a lot of bands, got a lot of Ivy on me<BR>I gotta fan myself off (Fan me off)<BR>I gotta fan myself off (Fan me off)<BR>I gotta cool down, heated (Fan me off like hot, hot, hot)<BR>(Like Coco Chanel, put me up in jail)<BR>I gotta cool it down, heated (Cool it down, hot, hot, hot)<BR>Yeah, yeah (Like stolen Chanel, put me up in jail)<BR>(Tip, tip, tip)<BR>It's been a lot of years, really think you gettin' one past me?<BR> (Tip, tip, tip)<BR>I gotta fan myself off<BR>I gotta fan myself off<BR>I gotta cool it down, heated (Oh)<BR>You got me heated<BR>Heated, oh<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Refrain]<BR>Never met a girl with a mind like this, no, no<BR>To give you space and timе like this, my love<BR>Nevеr met a girl so fine like this, no, no, no, no, no<BR>With a waist that wine like this, my love<BR>[Pre-Chorus]<BR>Only a real one could tame me<BR>Only the radio could play me (Uh)<BR>Oh, now you wish I was complacent (Uh)<BR>Boy, you musta mixed up our faces (Uncle, Uncle Jonny)<BR>Oh, now you wanna have conversations (Uncle Jonny)<BR>See, now you're testin' my patience (Uncle Jonny made my dress)<BR>Yeah, yeah (Fan me off)<BR>[Chorus]<BR>Got a lot of bands, got a lot of Chanel on me<BR>I gotta fan myself off (Fan me off)<BR>I gotta fan myself off (Fan me off)<BR>I gotta cool down, heated (Fan me off like hot, hot, hot)<BR>(Like stolen Chanel, put me up in jail)<BR>I gotta cool it down, heated (Tip, tip, tip, tippin' on)<BR>(Tip, tip, tip, tippin' on)<BR>Got a lot of style, got a lot of Tiffany on me<BR>I gotta fan myself off (Tiffany, Tiffany, Tiffany, Tiffany, Tiffany)<BR>I gotta fan myself off<BR>I gotta cool it down, heated (I'm hot, hot, hot)<BR>You got me heated (Fan me off like hot, hot, hot)<BR>Heated, oh (Like stolen Chanel, put me up in jail)<BR><BR><BR><BR>Produced By:Beyoncé, Sevn Thomas, Neenyo, Jahaan Sweet, Boi-1da, Cadenza, Kelman Duran, Stuart White & Harry Edwards<BR>Written By:Drake, Boi-1da, Jahaan Sweet, Sevn Thomas, Neenyo, Blu June, Brittany Coney, Calev, Cadenza, Beyoncé & Ricky Lawson<BR>Distributor:Sony Music Entertainment<BR>Copyright:Sony Music Entertainment, Columbia Records & Parkwood Entertainment<BR>Label:Columbia Records<BR>A&R Director:Mariel Gomerez<BR>Assistant Engineer:Matheus Braz<BR>Background Vocals:Tatiana “Tatu” Matthews & The-Dream<BR>Co-Producer:Cadenza<BR>Drums:Stuart White<BR>Engineer:Andrea Roberts & John Cranfield<BR>Guitar:Calev<BR>Mastering Engineer:Colin Leonard<BR>Mixing Engineer:Stuart White<BR>Programmer:Cadenza & Kelman Duran<BR>Recording Engineer:Andrea Roberts, Chi Coney & Stuart White<BR>Vocals:Beyoncé & BEAM<BR>Vocal Producer:Beyoncé<BR>Executive Producer:Beyoncé<BR>Release Date:July 29, 2022<BR>HEATED Samples:Where To Land by Travis Garland (Ft. George III) & HEATED (Demo) by Drake","Heated Lyrics - July 29, 2022,R&B,Afrobeats"
Unclebob,"Отказываю небу (refuse sky) Lyrics - August 5, 2022",English Lyrics,"Отказываю небу (refuse sky) Lyrics - August 5, 2022 <BR><BR><BR>[Текст песни «отказываю небу»]<BR>[Куплет 1]<BR>Люди не понимают друг друга<BR>Люди пугают да врут<BR>А любят, когда это труд и всецело невыносимо<BR>Ты мне целовала спину<BR>Туда же и наносила две тысячи ножевых<BR>А мне чудилась даже в них нежность<BR>Я никогда так не любил прежде<BR>Теперь же я своей рукой<BR>Через годы по привычке за тобою повторял<BR>И наносил уже другой<BR>На тысячу ножевых больше<BR>И снова белый лист<BR>Вынашивая злобу, оплодотворяя ненависть<BR>И мне на кисти давит циферблат<BR>Я, может, и чудовище<BR>Но искренне стараюсь быть хорошим<BR>И верю, знаю, что всё потяну<BR>Я понял соль земли и принимаю в себе тьму<BR>И преломляю свет раз за разом<BR>И если мне приказывают звёзды — я отказываю<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Припев]<BR>Я отказываю небу<BR>Я отказываю солнцу и луне<BR>Солнцу и луне<BR>Я отказываю небу<BR>Я отказываю солнцу и луне<BR>Солнцу и луне<BR>Я отказываю небу<BR>Я отказываю солнцу и луне<BR>Солнцу и луне<BR>Я отказываю небу<BR>Я отказываю солнцу и луне<BR>Солнцу и луне<BR>[Куплет 2]<BR>Тела нет у головы<BR>И если бы звезда упала бы<BR>То кто бы загадал чё?<BR>Я отменил бы смерть<BR>Только смерти поебать на cancel culture<BR>И меня бросает в жар она<BR>Смерть — это пространство<BR>Смерть — это длина и ширина<BR>А жизнь — отрезки времени внутри<BR>У вечности нет времени, у времени — любви<BR>И это тянется за мной с начала века<BR>Плевать, что нет у времени любви<BR>Важней, что есть у человека<BR>А он молчит как рыба<BR>Но есть у человека кое-что, и это — выбор<BR>Выбор полюбить, выбор умереть<BR>Быть или не быть<BR>Сохранить холод или погореть<BR>И садится батарейка<BR>Садится у Андрейки<BR>От боли хочу плакать, но я выбираю волю<BR>Мне двадцать пять, это ещё не показатель<BR>И небо хочет нам помочь, я выбрал отказать ему<BR>Всё запутано, и в этом есть весь я<BR>Это не о любви, а для любви песня<BR><BR><BR><BR>Produced By:Unclebob<BR>Written By:​​pyrokinesis<BR>Recording Engineer:РЭЙДИ (RAY-D)<BR>Distributor:Believe Music<BR>Label:Rhymes Music<BR>Mastering Engineer:РЭЙДИ (RAY-D)<BR>Mixing Engineer:РЭЙДИ (RAY-D)<BR>Release Date:August 5, 2022","Отказываю небу (refuse sky) Lyrics - August 5, 2022,Rap,Русский рэп (Russian Rap),Россия (Russia)"
