Date,Title,Categories,Lyrics,Tag
,"All the things i hate about you Lyrics - 

Erik Ron",English Lyrics,"All the things i hate about you Lyrics - 

Erik Ron <BR><BR><BR>[Intro]<BR>Haha<BR>[Verse 1]<BR>Take a bow<BR>You've got everybody fooled, I got you figured out<BR>Now you’re choking on your words, well, you should spit it out<BR>Know that I gave you the world and you just gave me hell<BR>And you gave me hell<BR>[Pre-Chorus]<BR>Felt like a hundred punches<BR>Too many tough pills to stomach<BR>I watched you making it public<BR>Lights, camera, fuck it<BR><BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Chorus]<BR>You're a showstopper<BR>A bad liar, homie-hopper, drama-starter<BR>All my friends are fucked, we all got you in common<BR>You're so fake and everyone should know about it<BR>And all the things I hate about you<BR>All the things I hate about you, yeah<BR>All the things I hate about the way you manipulate me<BR>Left me with no explanation<BR>Every word is true, all the things I hate about you<BR>[Post-Chorus]<BR>(All the things I hate about you)<BR>[Verse 2]<BR>You could’ve had a rockstar<BR>But you chose up on a bum-star<BR>Bootleg version of me, that's your loss<BR>Had to find out through a photo<BR>Hangin' on your arm like a knockoff<BR><BR>[Pre-Chorus]<BR>Stab me in the back like nothing<BR>Never even saw this comin'<BR>I watched you making it public<BR>Lights, camera, fuck it<BR><BR><BR><BR>Produced By:Erik Ron<BR>Written By:Huddy & Wes Period<BR>Distributor:The Orchard<BR>Copyright:Half Blood Records<BR>Label:Half Blood Records<BR>Video Director:Mooch<BR>Release Date:July 29, 2022","All the things i hate about you Lyrics - 

Erik Ron,Pop,Rock,Alternative Rock,Alternative,Punk Rock,Pop-Punk"
,"Running up that hill (a deal with god) Lyrics - 

Kate Bush",English Lyrics,"Running up that hill (a deal with god) Lyrics - 

Kate Bush <BR><BR><BR>[Verse 1]<BR>It doesn't hurt me (Ye-yeah, yeah, yo)<BR>Do you want to feel how it feels? (Ye-yeah, yeah, yo)<BR>Do you want to know, know that it doesn't hurt me? (Ye-yeah, yeah, yo)<BR>Do you want to hear about the deal that I'm making? (Ye-yeah, yeah, yo)<BR><BR>[Pre-Chorus]<BR>You<BR>It's you and me<BR>[Chorus]<BR>And if I only could<BR>I'd make a deal with God<BR>And I'd get him to swap our places<BR>Be running up that road<BR>Be running up that hill<BR>Be running up that building<BR>Say, if I only could, oh<BR><BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Verse 2]<BR>You don't wanna hurt me (Ye-yeah, yeah, yo)<BR>But see how deep the bullet lies (Ye-yeah, yeah, yo)<BR>Unaware, I'm tearing you asunder (Ye-yeah, yeah, yo)<BR>Oh, there is thunder in our hearts (Ye-yeah, yeah, yo)<BR>Is there so much hate for the ones we love? (Ye-yeah, yeah, yo)<BR>Oh, tell me, we both matter, don't we? (Ye-yeah, yeah, yo)<BR><BR>[Pre-Chorus]<BR>You<BR>It's you and me<BR>It's you and me, won't be unhappy<BR>[Chorus]<BR>And if I only could<BR>I'd make a deal with God<BR>And I'd get him to swap our places<BR>Be running up that road<BR>Be running up that hill<BR>Be running up that building (Ye-yo)<BR>Say, if I only could, oh<BR><BR>[Pre-Chorus]<BR>You (Ye-yeah, yeah, yo)<BR>It's you and me<BR>It's you and me, won't be unhappy (Ye-yeah, yeah, yo)<BR><BR><BR><BR>Produced By:Kate Bush<BR>Written By:Kate Bush<BR>Performance Rights:BMI<BR>Licensing:LatinAutor - UMPG, Universal Music Group, UBEM, LatinAutor - SonyATV, CMRRA, BMI, LatinAutorPerf, SOLAR Music Rights Management, LatinAutor, Sony Musi...<BR>Video Director:David Garfath<BR>Label:EMI (Label)<BR>Remastering Engineer:James Guthrie, Kate Bush & Chris Blair<BR>Artwork:Bill Smith Studio<BR>Photography:John Carder Bush<BR>Lyricist:Kate Bush<BR>Vocals:Kate Bush<BR>Keyboards:Kate Bush<BR>Balalaika:Paddy Bush<BR>Bass:Del Palmer<BR>Drums:Stuart Elliott<BR>Publisher:EMI Music Publishing Group & Noble and Brite Ltd.<BR>Guitar:Alan Murphy<BR>Mastering Engineer:Ian Cooper<BR>Mixing Engineer:Brian Tench<BR>Assistant Engineer:Pearse Dunne<BR>Engineer:Del Palmer, Bill Somerville-Large, Brian Tench, Haydn Bendall, James Guthrie, Nigel Walker & Paul Hardiman<BR>Programmer:Del Palmer<BR>Recorded At:Wickham Farm Home Studio<BR>Release Date:August 5, 1985","Running up that hill (a deal with god) Lyrics - 

Kate Bush,Pop,Rock,Avant Garde,Art Rock,Adult Contemporary,Baroque Pop,Singer-Songwriter,Alternative Pop,Alternative,Avant-Pop,Pop-Rock,Adult Alternative,Eighties,British Rock,UK,Synth-Pop,New Wave,Art Pop"
,"Happiness Lyrics - 

Matthew Healy, George Daniel , 1 more",English Lyrics,"Happiness Lyrics - 

Matthew Healy, George Daniel , 1 more <BR><BR><BR>[Intro]<BR>Confidence is comical<BR>An' I'm, an' I'm happy<BR>That's what I like<BR>I'm happiest when I'm doing something that I know is good<BR>That's happiness for me<BR>I'm happiest when I'm doing something that I know is good<BR>That's happiness for me<BR>[Verse 1]<BR>She showed me what love is<BR>I'm actin' like I know myself<BR>Oh, in case you didn't notice<BR>Oh, oh, I would go blind just to see you<BR>I'd go too far just to have you near<BR>In my soul, I've got this feeling I<BR>Didn't know it 'til I seen ya<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Break]<BR>My, my, my, oh<BR>My, my, my, you<BR>Mind my mind, you<BR>Mind my mind, oh<BR>My, my, my, you<BR>Mind my mind, oh<BR>My, my, my, she's insatiable, it's what she is<BR>[Verse 2]<BR>Her body's like a modern art<BR>Take it out in front of me<BR>I've gotta stop messin' it up because I'm<BR>Feelin' like I'm messin' it up because I'm<BR>Callin' out your name and God help me 'cause<BR>Oh, I'm never gonna love again, hey<BR>I'm never gonna love again, hey, oh<BR>[Chorus]<BR>Show me your love, why don't you?<BR>Grow up and see<BR>Show me your love, why don't you?<BR>Grow up and see<BR>Show me your love, why don't you?<BR>Grow up and see<BR>Show me your love, why don't you?<BR><BR><BR><BR>Produced By:Matthew Healy, George Daniel & Jack Antonoff<BR>Written By:George Daniel, Matthew Healy, Jenifer Starar & Stephen Ellen Starar<BR>Vocals:Matthew Healy<BR>Guitar:Adam Hann & Matthew Healy<BR>Bass:Ross MacDonald<BR>Drums:George Daniel<BR>Programmer:George Daniel<BR>Mixing Engineer:Chris Galland & Manny Marroquin<BR>Mastering Engineer:Robin Schmidt<BR>Label:Dirty Hit<BR>Release Date:August 3, 2022<BR>Happiness Remixes:Happiness (Dance Floor Edit) by The 1975","Happiness Lyrics - 

Matthew Healy, George Daniel , 1 more,Pop,Rock,Funk Rock,Funk-Pop,Funk,Synth Rock,Synth-Pop,Synth Funk,Pop-Rock,New Wave,UK"
,"Genesis Lyrics - 

Budd Dwyer",English Lyrics,"Genesis Lyrics - 

Budd Dwyer <BR><BR><BR>[Intro]<BR>Hey, you, yeah, I'm talkin' to you<BR>Get over here, I said, ""Get over here""<BR>Gutter chump, ahaha<BR>You know they say that money is the root of all evil<BR>Oh, no wonder I love it so much<BR><BR>[Chorus: ODDY NUFF DA $NOW LEOPARD]<BR>Fuck an-fuck an introduction, bitch, you already know<BR>$uicide death row, $uicide death row<BR>Fuck an-fuck an introduction, bitch, you already know<BR>$uicide death row, ridin' slow-mo in a four<BR>Fuck an-fuck an introduction, bitch, you already know<BR>$uicide death row, $uicide death row<BR>Fuck an-fuck an introduction, bitch, you already know<BR>$uicide death row, ridin' slow-mo in a four<BR><BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Verse 1: Ruby da Archangel]<BR>Ayy, sold my soul to the Grey, became a household name<BR>I claimed my grave and chained my name<BR>I'm out the game, I don't play to win<BR>I don't play at all and win by default<BR>I climbed to the top just to see how far down I would fall (Yikes)<BR>Looked up at the heavens and thought it looked small<BR>Below me, a valley of demons constantly schemin'<BR>I look back down, thinking ""Fuck all of y'all""<BR>I came into this world as an accident<BR>Blazin' trails just to get a whiff of that blackened scent<BR>Pull up in the Porsche if the Benz got in an accident (Fuck)<BR>I'ma have to get my car wrapped again<BR>I'm back again, back against the wall<BR>Tryna live it up before the curtain falls<BR>White knuckle grip holdin' up my Grey cabal<BR>Any questions? Give one of my managers a call (Bitch)<BR>[Chorus: ODDY NUFF DA $NOW LEOPARD]<BR>Fuck an-fuck an introduction, bitch, you already know<BR>$uicide death row, $uicide death row<BR>Fuck an-fuck an introduction, bitch, you already know<BR>$uicide death row, ridin' slow-mo in a four<BR>Fuck an-fuck an introduction, bitch, you already know<BR>$uicide death row, $uicide death row<BR>Fuck an-fuck an introduction, bitch, you already know<BR>$uicide death row, ridin' slow-mo in a four<BR><BR><BR><BR>Produced By:Budd Dwyer<BR>Written By:Aristos Petrou & Scott Arceneaux Jr.<BR>Label:G*59 Records<BR>Distributor:The Orchard<BR>Copyright:G*59 Records<BR>Persona Used:Lil Apache & RUBY DA ARCHANGEL<BR>Mastering Engineer:Sambo Bachrack<BR>Mixing Engineer:Sambo Bachrack<BR>Release Date:July 29, 2022<BR>Genesis Samples:Game Over (Super Mario World) by Koji Kondo & Ugly by $UICIDEBOY$","Genesis Lyrics - 

Budd Dwyer,Rap,Cloud Rap,Trap,Hip-Hop"
,"The 30th Lyrics - 

FINNEAS",English Lyrics,"The 30th Lyrics - 

FINNEAS <BR><BR><BR>[Verse 1]<BR>Sometimes, you look the same<BR>Just like you did before the accident<BR>When you're starin' into space<BR>It's hard to believe you don't remember it<BR>Woke up in the ambulance<BR>You pieced it all together on the drive<BR>[Chorus]<BR>I know you don't remember calling me<BR>But I told you even then you looked so pretty<BR>In a hospital bed, I remember you said<BR>You were scared<BR>And so was I<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Verse 2]<BR>In a standstill on the 5<BR>Thought it was unusually early traffic<BR>Usually, I don't panic<BR>I just wanted to be on time<BR>When I saw the ambulances on the shoulder<BR>I didn't even think of pullin' over<BR>I pieced it all together late that night<BR>[Chorus]<BR>And I know you don't remember calling me<BR>But I told you even then you looked so pretty<BR>In a hospital bed, I remember you said<BR>You were scared<BR>And so was I<BR>[Bridge]<BR>What if it happened to you on a different day?<BR>On a bridge where there wasn't a rail in the way?<BR>Or a neighborhood street where the little kids play?<BR>Or the Angeles Crest in the snow or the rain?<BR>What if you weren't alone? There were kids in the car<BR>What if you were remote? No one knows where you are<BR>If you changed anything, would you not have survived?<BR>You're alive, you're alive, you're alive<BR><BR><BR><BR>Produced By:FINNEAS<BR>Written By:Billie Eilish & FINNEAS<BR>Recording Engineer:Billie Eilish & FINNEAS<BR>Vocal Editor:Billie Eilish & FINNEAS<BR>Label:Darkroom Records & Interscope Records<BR>Copyright:Darkroom Records & Interscope Records<BR>Synthesizer:FINNEAS<BR>Studio Personnel:Billie Eilish, Dave Kutch, FINNEAS & Rob Kinelski<BR>Programmer:FINNEAS<BR>Piano:FINNEAS<BR>Mixing Engineer:Rob Kinelski<BR>Mastering Engineer:Dave Kutch<BR>Guitar:FINNEAS<BR>Drums:FINNEAS<BR>Bass:FINNEAS<BR>Release Date:July 21, 2022","The 30th Lyrics - 

FINNEAS,Pop,American Folk,Contemporary Folk,Piano,Chamber Pop,Alternative Pop,Chamber Music,Alternative,Acoustic"
,"​august Lyrics - 

Joe Alwyn, Taylor Swift , 1 more",English Lyrics,"​august Lyrics - 

Joe Alwyn, Taylor Swift , 1 more <BR><BR><BR>[Verse 1]<BR>Salt air, and the rust on your door<BR>I never needed anything more<BR>Whispers of ""Are you sure?""<BR>""Never have I ever before""<BR><BR>[Chorus]<BR>But I can see us lost in the memory<BR>August slipped away into a moment in time<BR>'Cause it was never mine<BR>And I can see us twisted in bedsheets<BR>August sipped away like a bottle of wine<BR>'Cause you were never mine<BR><BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Verse 2]<BR>Your back beneath the sun<BR>Wishin' I could write my name on it<BR>Will you call when you're back at school?<BR>I remember thinkin' I had you<BR><BR>[Chorus]<BR>But I can see us lost in the memory<BR>August slipped away into a moment in time<BR>'Cause it was never mine<BR>And I can see us twisted in bedsheets<BR>August sipped away like a bottle of wine<BR>'Cause you were never mine<BR><BR>[Bridge]<BR>Back when we were still changin' for the better<BR>Wanting was enough<BR>For me, it was enough<BR>To live for the hope of it all<BR>Cancel plans just in case you'd call<BR>And say, ""Meet me behind the mall""<BR>So much for summer love and saying ""us""<BR>'Cause you weren't mine to lose<BR>You weren't mine to lose, no<BR><BR>[Chorus]<BR>But I can see us lost in the memory<BR>August slipped away into a moment in time<BR>'Cause it was never mine<BR>And I can see us twisted in bedsheets<BR>August sipped away like a bottle of wine<BR>'Cause you were never mine<BR><BR><BR><BR>Produced By:Joe Alwyn, Taylor Swift & Jack Antonoff<BR>Written By:Jack Antonoff & Taylor Swift<BR>Bass:Jonathan Low & Jack Antonoff<BR>Guitar:Evan Smith & Jack Antonoff<BR>Keyboards:Evan Smith & Jack Antonoff<BR>Strings:Bobby Hawk<BR>Flute:Evan Smith<BR>Saxophone:Evan Smith<BR>Mastering Engineer:Randy Merrill<BR>Mixing Engineer:Jonathan Low<BR>Programmer:Jack Antonoff<BR>Percussion:Jack Antonoff<BR>Recording Engineer:Jon Gautier, Mike Williams, Laura Sisk & Jack Antonoff<BR>Studio Personnel:Jon Gautier, Mike Williams, Randy Merrill, Jonathan Low, Laura Sisk & Jack Antonoff<BR>Release Date:July 24, 2020<BR>​august Remixes:August by Rushil saini","​august Lyrics - 

Joe Alwyn, Taylor Swift , 1 more,Rock,Country,Pop,Pop Country,Pop-Rock,Alternative Country,Alternative Rock,Adult Contemporary,Alternative,Ballad,Adult Alternative,Singer-Songwriter,Alternative Pop"
,"$uicideboy$ were better in 2015 Lyrics - 

Budd Dwyer",English Lyrics,"$uicideboy$ were better in 2015 Lyrics - 

Budd Dwyer <BR><BR><BR>[Intro]<BR>Hol-, hol-<BR>Hol-, hol-, hol-, hol-, hol-<BR>Hollow heat up your dome, hol-<BR>Hollow heat up your dome, hol-<BR>Hollow heat up your dome, hol-<BR>Hollow heat up your dome<BR>Hollow heat up your dome, hol-<BR>Hollow heat up your dome, hol-<BR>Kickin' it in my [?]<BR>Hollow heat up your dome<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Verse 1: $lick $loth]<BR>Still here boasting my emotions<BR>Now coping while fucking dopeless<BR>Let the dope hit, breathing slowly<BR>Look baby, I'll show you hopeless<BR>Load the ammo, $carecrow no shadow<BR>Bloody pianos, sold-out gallows<BR>My mind so harrowed from tragic backroads traveled<BR>Waking up with dread, pop off on my meds, nose deep in narcotics<BR>Window shopping for my father's problems<BR>Do you have some options?<BR>My hand numb from gripping the pistol, trigger finger callous<BR>My heart out to my girl, I know that loving me is a challenge<BR>[Break]<BR>Hol-, hol-<BR>Hol-, hol-, hol-, hol-, hol-<BR>Hollow heat up your dome, hol-<BR>Hollow heat up your dome, hol-<BR>Hollow heat up your dome, hol-<BR>Hollow heat up your dome<BR>Hollow heat up your dome, hol-<BR>Hollow heat up your dome, hol-<BR>Kickin' it in my [?]<BR>Hollow heat up your dome<BR><BR><BR><BR>Produced By:Budd Dwyer<BR>Written By:Aristos Petrou & Scott Arceneaux Jr.<BR>Persona Used:$lick $loth & Lil Oozing<BR>Mastering Engineer:Sambo Bachrack<BR>Mixing Engineer:Sambo Bachrack<BR>Release Date:July 29, 2022","$uicideboy$ were better in 2015 Lyrics - 

Budd Dwyer,Rap,Horrorcore,Hardcore Hip-Hop"
"

August 1, 2022",Newjeans - cookie (english translation) Lyrics,English Lyrics,"Newjeans - cookie (english translation) Lyrics <BR><BR><BR>[Intro]<BR>Yeah<BR>[Verse 1: Hyein, Hanni]<BR>Made a little cookie<BR>Baked it just for you<BR>But you know that it ain't for free, yeah<BR>Made a little cookie<BR>It’s too soft<BR>Can't stop thinking about it<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Pre-Chorus: Danielle, Minji]<BR>With chocolate chips, you know<BR>I wanna sprinkle all over<BR>I want to make you lose your appetite<BR>I'm hiding it, but I want to see you more<BR>If you want it, you can get it, if you want it<BR>Let me hear your voice again, boy<BR>[Chorus: Haerin, Hyein, Minji, Hanni, *Danielle*]<BR>No dinner, dinner, you’re hungry though<BR>No water, water, you're thirsty though<BR>Only sweet flavors, only desserts<BR>That's how you like it, ain't that right?<BR>No dinner, dinner, you're hungry though<BR>No water, water, you're thirsty though<BR>*Only sweet flavors, only desserts*<BR>That's how you like it, ain't that right?<BR>[Verse 2: Haerin, Danielle]<BR>Made a little cookie<BR>Your poison<BR>I’ll melt your heart away<BR>So good, yeah<BR>Looking at my cookie<BR>Do you ever smell it different? (Taste it)<BR>What’s with a bite isn't enough?<BR><BR><BR><BR>Release Date:August 1, 2022","Newjeans - cookie (english translation) Lyrics,Pop,English Translation,Genius Korea"
,"In constant sorrow Lyrics - 

Budd Dwyer",English Lyrics,"In constant sorrow Lyrics - 

Budd Dwyer <BR><BR><BR>[Intro: MC Money & Nigga Creeps]<BR>Serious shit, no playin', ho<BR>Break yo' self, hit the floor, hit the floor<BR>Hoe-ish ass nigga, I'm just tired of this talking shit<BR>Serious shit, no playin', ho<BR>Keep poppin' off at the mouth<BR>Hoe-ish ass nigga, I'm just tired of this talking shit<BR>Break yo' self, hit the floor<BR>Get your fucking wig split<BR>[Verse 1: Lord of Loneliness]<BR>Ruby keep pulling these hoes all over the globe<BR>But still I'm alone putting shit up my nose<BR>All of the money, the cars and the clothes<BR>It comes and it goes<BR>One day I'll be ready to gather my bones, dig me a hole<BR>Say goodbye as my two eyes start to close<BR>But that day ain't even close<BR>All of y'all leave me alone (Leave me alone!)<BR>Who the fuck won't copy us? No stopping us<BR>She blocked me 'cause I'm stocking up on foxy sluts and shoddy cuffs, no roxy dust<BR>I'm Oddy Nuff, the next bitch who wanna lock me up<BR>I'm knocking up<BR>The rope in my hand keeps knotting up<BR>I'm so tired of thinking I'm not enough!<BR>Not enough!<BR>Not enough!<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[MC Money & Nigga Creeps]<BR>Serious shit, no playin', ho<BR>Keep poppin' off at the mouth<BR>Hoe-ish ass nigga, I'm just tired of this talking shit<BR>Break yo' self, hit the floor<BR>Get your fucking wig split<BR>[Verse 2: Lil Remains]<BR>Pull up in a drop top, high (Why?)<BR>People tryna take what's mine (Who?)<BR>People I call my friends (Where?)<BR>People I call my fam', goddamn<BR>Speed dial my style for a fix (When?)<BR>Right now and I don't wanna hear shit (Wait, what?)<BR>I tell a hoe take off before I cut the dope off<BR>Living too painful to quit<BR>I've been- I've been-<BR>I've been dreaming of a reason not to paint the fucking ceiling<BR>With my brains and my pain, that's just how the fuck I'm feeling<BR>Tired of hurting, feeling worthless<BR>Is this God thing really working?<BR>Pointless searching for a purpose<BR>Meet me at my service...<BR>Meet me at my service...<BR>Meet me at my service...<BR><BR><BR><BR>Produced By:Budd Dwyer<BR>Written By:Aristos Petrou & Scott Arceneaux Jr.<BR>Persona Used:Lord of Loneliness & Lil Remains<BR>Mixer & Masterer:Sambo Bachrack<BR>Release Date:July 29, 2022","In constant sorrow Lyrics - 

Budd Dwyer,Rap,Memphis,Hardcore Hip-Hop,Trap"
,"She knows Lyrics - 

J. Cole , Ken Lewis",English Lyrics,"She knows Lyrics - 

J. Cole , Ken Lewis <BR><BR><BR>[Intro: J. Cole & Amber Coffman (Sampled)]<BR>She knows<BR>She knows, ayy<BR>Bad things happen to the people you love<BR>And you find yourself praying up to heaven above<BR>But honestly, I've never had much sympathy<BR>'Cause those bad things, I always saw them coming for me<BR>I'm gonna run, run away (Oh, I), run run away, run away (Oh, I-I-I)<BR>Run away and never come back (Well, all right)<BR>Run run away, run run away (Oh, I), run away (Oh, I-I-I)<BR>Show 'em that your color is black (Well, all right)<BR><BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Verse 1: J. Cole]<BR>Damned if I do, damned if I don't<BR>You know I got a girl back home<BR>You got a man what you want, what you want?<BR>What these bitches want from a nigga?<BR>On some DMX shit, huh<BR>I know them other niggas love tricking<BR>On some BMX shit, but not me<BR>Now I'm sure you done heard about me<BR>A black star, Mos Def, Kweli<BR>Good so them bad hoes try me, they try me<BR>This is Martin Luther King in the club, getting dubs<BR>With a bad bitch in his ear, sayin' that she down for whatever<BR>In the back of his mind is Coretta<BR><BR>[Chorus: J. Cole]<BR>And she knows, she knows<BR>And I know she knows, and I know she knows<BR>And deep down, she knows, she knows<BR>And I know she knows, and I know she knows<BR><BR>[Refrain: J. Cole with Amber Coffman]<BR>Well, all right, oh, I, oh, I-I-I<BR>I can't be what you want from me, well, all right<BR>Oh, I, oh, I-I-I<BR>I can't be what you want from me, well, all right<BR><BR><BR><BR>Featuring:Amber Coffman & Cults<BR>Produced By:J. Cole & Ken Lewis<BR>Written By:DMX, Madeline Mckenna, Brian Oblivion & J. Cole<BR>Mixing Engineer:Juro “Mez” Davis<BR>Recording Engineer:Juro “Mez” Davis<BR>Additional Producer:Ken Lewis<BR>Scratcher:DJ Dummy<BR>Additional Strings:Ken Lewis<BR>Label:Columbia Records, Roc Nation & Dreamville<BR>Assistant Engineer:Sam Giannelli<BR>Recorded At:Premier Studios (New York, NY)<BR>Release Date:October 29, 2013<BR>She Knows Samples:Bad Things by Cults","She knows Lyrics - 

J. Cole , Ken Lewis,Rap"
