Date,Title,Categories,Lyrics,Tag
,Shukriya Song Lyrics,hindi Lyrics,"Shukriya Song Lyrics<BR><BR><BR>Bhavro ki gun gun gun<BR>Titli ki run jhun jhun jhun<BR>Bhavro ki gun gun gun<BR>Titli ki run jhun run jhun<BR>Hawao ki san san san san<BR>Kahe shukriya<BR>Shukriya shukriya shukriya shukriya<BR>Shukriya shukriya shukriya shukriya<BR>Bhavro ki gun gun gun<BR>Titli ki run jhun jhun jhun<BR>Hawao ki san san san san<BR>Kahe shukriya<BR>Shukriya shukriya shukriya shukriya<BR>Shukriya shukriya shukriya shukriyaKirno ki kilkariya<BR>Pedo ki angdaiya<BR>Pattiya kahe shukriya<BR>Oh kali kahe shukriya<BR>Nadiya kahe sar sar sar sar<BR>Jharno ki had bad had bad<BR>Pathrile uche pervat<BR>Mausam ke saare kartab<BR>Panchiyo ki anban anbn<BR>Kahe shukriya<BR>Shukriya shukriya shukriya shukriya<BR>Shukriya shukriya shukriya shukriya…..<BR><BR><BR><BR><BR>Movie / Album:Haathi Mere Saathi<BR>Language:Hindi<BR>Lyricist:Swanand Kirkire<BR>Singer's:Rituraj Mohanty<BR>Music Director:Shantanu Moitra<BR>Label:Eros Now Music<BR>Year:2021<BR>Starring:Rana Daggubati, Vishnu Vishal","Shukriya Song Lyrics,Haathi Mere Saathi,Hindi,Swanand Kirkire,Rituraj Mohanty,Shantanu Moitra,Eros Now Music,2021,Rana Daggubati,Vishnu Vishal"
,Jo Gum Hua Hai Song Lyrics,hindi Lyrics,"Jo Gum Hua Hai Song Lyrics<BR><BR><BR>Jabaan tak aakar<BR>Ruk gayi wo baat saari<BR>Kahne ko jinko<BR>Ek bhi lamha nahin tha..<BR>Kaise phislaa tumhara haath<BR>Mere haathon se<BR>Beparwaah kabhi aisa<BR>Toh main hota nahi tha<BR>Jo Gum hua hai<BR>Sang usey Dhoondhte hai<BR>Humko maaloom hai<BR>Rahta wo yahi kahi haiTeri aawaaz ne<BR>Aawaaz bhi na di humko<BR>Palat kar dekhne ka<BR>Humko bhi mauka nahi tha<BR>Humne chaaha rok lein<BR>Apne haathon mein<BR>Waqt phisalta raha us par<BR>Koi pahra nahi tha<BR>Bharlo baahon mein<BR>Ki aaj mujhe neend aaye<BR>Tere bagair kai raateon se<BR>Main soya nahi thaa..<BR><BR><BR><BR><BR>Movie / Album:Ramprasad Ki Tehrvi<BR>Language:Hindi<BR>Lyricist:Neeraj Pandey<BR>Singer's:Sapna Sand<BR>Music Director:Sagar Desai<BR>Label:JioStudios<BR>Year:2021<BR>Starring:Naseeruddin Shah, Vinay Pathak","Jo Gum Hua Hai Song Lyrics,Ramprasad Ki Tehrvi,Hindi,Neeraj Pandey,Sapna Sand,Sagar Desai,JioStudios,2021,Naseeruddin Shah,Vinay Pathak"
,Coolie No. 1 Title Track Song Lyrics,hindi Lyrics,"Coolie No. 1 Title Track Song Lyrics<BR><BR><BR>Duniya Mein Aate Hi<BR>I Jumped In The Godi Of My Maiya<BR>Oh Meri Maiya<BR>School Jaate Hi<BR>I Dance To The Tune Of Ta Ta Thaiya<BR>Oh Ta Ta Thaiya<BR>Haan Udti Udti Titliyon Mein Dhundu<BR>Main Maa Ki MuskaanHaan Chote Chote Pair The Mere Par<BR>Chhuna Tha Aasmaan<BR>Phir Jo Na Hona Tha<BR>Wo Ho Gaya Re Daiya Re Daiya<BR>Re Daiya<BR>Manmohan Desai Ki Filmon Ki Tarah<BR>Bichad Gayi Meri Maiya<BR>Phir 786 Ka Billa Pehne Aaye<BR>Lambu Bhaiya<BR>Aye Tumhare Paas Kya Hai<BR>Mere Paas, Mere Paas Maa Nahi Hai<BR>Toh Bade Miyan Bole<BR>Rote Rote Hasna Sikho<BR>Ha-Ha Saari Duniya Ka Bojh Uthake<BR>Tum Jeena Sikho<BR>Uske Baad Jo Bhi Uljha Toh<BR>Khadi Kardi Maine Uski Khatiya<BR>Chala Ke Ladiyan<BR>Lehrate Patang Ki Tarah<BR>Uda Raju Bhaiya<BR>Arey Re Re Re<BR>Aye Coolie!<BR><BR><BR><BR><BR>Movie / Album:Coolie No. 1<BR>Language:Hindi<BR>Lyricist:Farhad Samji<BR>Singer's:Raj Pandit<BR>Music Director:Salim–Sulaiman<BR>Label:Amazon Prime Video India<BR>Year:2020<BR>Starring:Sara Ali Khan, Varun Dhawan","Coolie No. 1 Title Track Song Lyrics,Coolie No. 1,Hindi,Farhad Samji,Raj Pandit,Salim–Sulaiman,Amazon Prime Video India,2020,Sara Ali Khan,Varun Dhawan"
,Tere Siva Song Lyrics,hindi Lyrics,"Tere Siva Song Lyrics<BR><BR><BR>Dil Ko Mere Ye Kya Hua Hai<BR>Milke Tujhe Udne Laga Hai<BR>Sunta Nahi Ab Ye Meri Dekho Zara Bhi<BR>Khwabon Mein Ye Jaake Tujhe<BR>Milne Laga Hai<BR>Tere Siva Main Kuch Bhi Jaanu Na<BR>Bas Itna Jaanu Re<BR>Is Jahan Mein Sab Kuch Chhod Ke Main<BR>Tujhe Apna Maanu ReTere Siva Main Kuch Bhi Jaanu Na<BR>Bas Itna Jaanu Re<BR>Is Jahan Mein Sab Kuch Chhod Ke Main<BR>Tujhe Apna Maanu Re<BR>Tere Siwa…<BR>Tera Mera Rishta Ye Kya Hai<BR>Khushbu Ke Sang Jaise Hawa Hai<BR>Hum Tum Alag Lekin Magan Hai Ek Jaise<BR>Ye Ishq Ab Mujhko Samajh Aane Laga Hai<BR>Tere Siva Main Kuch Bhi Mangu Na<BR>Bas Tujhko Mangu Re<BR>Is Jahan Mein Sab Kuch Chhod Ke Main<BR>Tujhe Apna Maanu Re<BR>Tere Siva Main Kuch Bhi Mangu Na<BR>Bas Tujhko Mangu Re<BR>Is Jahan Mein Sab Kuch Chhod Ke Main<BR>Tujhe Apna Maanu Re<BR>Tere Siwa…<BR><BR><BR><BR><BR>Movie / Album:Coolie No. 1<BR>Language:Hindi<BR>Lyricist:Rashmi Virag<BR>Singer's:Ash King, Renessa Das<BR>Music Director:Tanishk Bagchi<BR>Label:Zee Music Company<BR>Year:2020<BR>Starring:Sara Ali Khan, Varun Dhawan","Tere Siva Song Lyrics,Coolie No. 1,Hindi,Rashmi Virag,Ash King,Renessa Das,Tanishk Bagchi,Zee Music Company,2020,Sara Ali Khan,Varun Dhawan"
,Mirchi Lagi Toh Song Lyrics,hindi Lyrics,"Mirchi Lagi Toh Song Lyrics<BR><BR><BR>Arey Wah!<BR>Main Toh Raste Se Ja Raha Tha<BR>Main Toh Bhel Puri Kha Raha Tha<BR>Main Toh Ladki Ghuma Raha Tha<BR>Haan Raste Se Ja Raha Tha<BR>Bhel Puri Kha Raha Tha<BR>Ladki Ghuma Raha Tha<BR>Tha, Tha Arey Re Re ReTujhko Mirchi Lagi Toh Main Kya Karoon<BR>Tujhko Mirchi Lagi Toh Main Kya Karoon<BR>Main Toh Raste Se Ja Rahi Thi<BR>Main Toh Ice-Cream Kha Rahi Thi<BR>Oh Main Toh Naina Lada Rahi Thi<BR>Raste Se Ja Rahi Thi<BR>Ice-cream Kha Rahi Thi<BR>Naina Lada Rahi Thi<BR>Thi, Thi Arey Re Re Re<BR>Tujhko Mirchi Lagi Toh Main Kya Karoon<BR>Tujhko Mirchi Lagi Toh Main Kya Karoon<BR>Wo Puraane Yaadgaar Geet!<BR>Jale Chahe Saara Zamana<BR>Chahe Tujhe Tera Deewana<BR>Jale Chahe Saara Zamana<BR>Chahe Tujhe Tera Deewana<BR>Sang Tere Main Bhag Jaaun<BR>Nazar Kisi Ko Bhi Na Aaun<BR>Arey Log Dilwalon Se Yaar Jalte Hai<BR>Kaise Bataun Kya Kya Chal Chalte Hai<BR>Ae, Ae, Ae Ae Haye<BR>Main Toh Gaadi Se Ja Raha Tha<BR>Main Toh Seeti Baja Raha Tha<BR>Main Toh Topi Phira Raha Tha<BR>Arey Gaadi Se Ja Raha Tha<BR>Seeti Baja Raha Tha<BR>Topi Phira Raha Tha<BR>Tha, Tha Arey Re Re Re<BR>Tujhko Dhakka Laga Toh Main Kya Karoon<BR>Tujhko Dhakka Laga Toh Main Kya Karoon<BR>Hello?<BR>Aap Jis Number Ko Call Kar Rahein Hai<BR>Wo Abhi Pyaar Mein Hai<BR>Nayi Koyi Picture Dikha De<BR>Mujhe Kahin Khana Khila De<BR>Nayi Koyi Picture Dikha De<BR>Mujhe Kahin Khana Khila De<BR>Zara Nigahon Se Pila De<BR>Pyaas Mere Dil Ki Bujha De<BR>Aaj Tujhe Jee Bharke Pyar Karna Hai<BR>Teri Nigahon Se Deedaar Karna Hai<BR>Ae, Ae, Ae Ae Haye<BR>Main Toh Thumka Laga Rahi Thi<BR>Main Toh Geet Koyi Gaa Rahi Thi<BR>Ho Main Toh Chakkar Chala Rahi Thi<BR>Thumka Laga Rahi Thi<BR>Geet Koyi Gaa Rahi Thi<BR>Chakkar Chala Rahi Thi<BR>Thi, Thi Arey Re Re Re<BR>Teri Nani Mari Toh Main Kya Karoon<BR>Teri Nani Mari Toh Main Kya Karoon<BR>Tujhko Mirchi Lagi Toh Main Kya Karoon<BR>Tujhko Mirchi Lagi Toh Main Kya Karoon<BR>Aye Coolie!<BR>Tujhko Mirchi Lagi Toh Main Kya Karoon<BR>Tujhko Mirchi Lagi Toh Main Kya Karoon<BR>Teri Nani Mari Toh Main Kya Karoon<BR>Tujhko Mirchi Lagi Toh Main Kya Karoon<BR><BR><BR><BR><BR>Movie / Album:Coolie No. 1<BR>Language:Hindi<BR>Lyricist:Sameer Anjaan<BR>Singer's:Alka Yagnik, Kumar Sanu<BR>Music Director:Lijo George – DJ Chetas<BR>Label:Tips Official<BR>Year:2020<BR>Starring:Sara Ali Khan, Varun Dhawan","Mirchi Lagi Toh Song Lyrics,Coolie No. 1,Hindi,Sameer Anjaan,Alka Yagnik,Kumar Sanu,Lijo George – DJ Chetas,Tips Official,2020,Sara Ali Khan,Varun Dhawan"
,Mummy Kassam Song Lyrics,hindi Lyrics,"Mummy Kassam Song Lyrics<BR><BR><BR>Ari O Monalisa<BR>Chalega Aisa Kaisa<BR>Ari O Monalisa<BR>Chhodun Na Tera Picha<BR>Oh Badi Mind Blowing Ladki Fasai<BR>Badi Mind Blowing Ladki Fasai<BR>Mummy Kasam Main Toh Gaya Die<BR>Arey Winter Ka Mausam Hai Bhai<BR>Ae Winter Ka Mausam Hai Bhai<BR>Upar Se Choti RajaiHo Tera Dhoondh Ke Laya Hu<BR>Jhumka Bazaar Se<BR>Kab Se Khada Hu Banke<BR>Majnu Kataar Mein (Oh Ho)<BR>Aa Ha<BR>Ae Hey<BR>Oh Ho<BR>Dhoondh Ke Laya Hu<BR>Jhumka Bazaar Se<BR>Kab Se Khada Hu Banke<BR>Majnu Kataar Mein<BR>Haye Re Teri Beauty Ne Neendein Udai<BR>Teri Beauty Ne Neendein Udai<BR>Mummy Kasam Main Toh Gaya Die<BR>Baaton Mein Teri Main Na Aaun Balma<BR>Kahe Tu Beech Mein Le Aaye Teri Maa<BR>Haan Baaton Mein Teri<BR>Main Na Aaun Balma (Oh Ho)<BR>Kahe Tu Beech Mein Le Aaye Teri Maa<BR>Kahe Piche Hai Pada<BR>Tu Toh Ziddi Hai Bada<BR>Teri Jhoothi Baaton Mein<BR>Main Na Aayi Aayi Aayi Aayi<BR>Hey.. Dafa 302 Mujhe Lagwai<BR>Oh Dafa 302 Mujhe Lagwai<BR>Mummy Kasam Main Toh Gaya Die<BR>Bade Bhagon Se Bani Tu Lugai<BR>Bade Bhagon Se Bani Tu Lugai<BR>Mummy Kassam Main Toh Gaya Die<BR>Mummy Kassam Mummy Kassam<BR>MummyKassam Die<BR>Mummy Kassam Mummy Kassam<BR>MummyKassam Die<BR><BR><BR><BR><BR>Movie / Album:Coolie No. 1<BR>Language:Hindi<BR>Lyricist:IKKA, Shabbir Ahmed<BR>Singer's:Ikka, Monali Thakur, Udit Narayan<BR>Music Director:Tanishk Bagchi<BR>Label:Zee Music Company<BR>Year:2020<BR>Starring:Sara Ali Khan, Varun Dhawan","Mummy Kassam Song Lyrics,Coolie No. 1,Hindi,IKKA,Shabbir Ahmed,Ikka,Monali Thakur,Udit Narayan,Tanishk Bagchi,Zee Music Company,2020,Sara Ali Khan,Varun Dhawan"
,Husnn Hai Suhaana Song Lyrics,hindi Lyrics,"Husnn Hai Suhaana Song Lyrics<BR><BR><BR>Boys!<BR>Tu-Ru-Ru Tu-Tu-Tu<BR>Tu-Ru-Ru Tu-Tu-Tu<BR>Girls!Tu-Ru-Ru Tu-Tu-Tu<BR>Tu-Ru-Ru Tu-Tu-Tu<BR>Husn Hai<BR>Ishq Hai<BR>Husn Hai Suhana Ishq Hai Deewana<BR>Roop Ka Khajana Aaj Hai Lutana<BR>Aake Deewane Mujhe Seene Se Laga<BR>Na Na Na<BR>Goriya Chura Na Mera Jiya<BR>Goriya Chura Na Mera Jiya<BR>Goriya Chura Na Mera Jiya<BR>Goriya Chura Na Mera Jiya<BR>Karke Ishaara Bulaye Jawani<BR>Aise Lubha Na Mujhe Deewani<BR>Aise Lubha Na Mujhe Deewani<BR>Karke Ishaara Bulaye Jawani<BR>Aise Lubha Na Mujhe Deewani<BR>Aise Lubha Na Mujhe Deewani<BR>Aaja Aaja Na<BR>Aaja Aaja Na Dilbar Jaani<BR>Jaane Jaana Oh Jaana<BR>Tu Hai Khwabon Ki Rani<BR>Apna Banaungi Nigahein Toh Mila<BR>Na Na Na<BR>Goriya Ne Pagal Mujhe Kiya<BR>Goriya Ne Pagal Mujhe Kiya<BR>Goriya Chura Na Mera Jiya<BR>Goriya Chura Na Mera Jiya<BR>Mauka Milan Ka Kahan Roz Aaye<BR>Aise Mujhe Kyon Kareeb Laye<BR>Aise Mujhe Kyon Kareeb Laye<BR>Dheere Dheere Se<BR>Haule Haule Se Kyon Tadpaye<BR>Aisi Raaton Mein<BR>Aisi Baaton Mein Kyon Behkaye<BR>Kya Hai Irada Mere Yaar Bata<BR>Na Na Na<BR>Goriya Hai Aashiq Tera Piya<BR>Goriya Hai Aashiq Tera Piya<BR>Goriya Chura Na Mera Jiya<BR>Goriya Chura Na Mera Jiya<BR><BR><BR><BR><BR>Movie / Album:Coolie No. 1<BR>Language:Hindi<BR>Lyricist:Sameer Anjaan<BR>Singer's:Abhijeet Bhattacharya, Chandana Dixit<BR>Music Director:Tanishk Bagchi<BR>Label:Tips Official<BR>Year:2020<BR>Starring:Sara Ali Khan, Varun Dhawan","Husnn Hai Suhaana Song Lyrics,Coolie No. 1,Hindi,Sameer Anjaan,Abhijeet Bhattacharya,Chandana Dixit,Tanishk Bagchi,Tips Official,2020,Sara Ali Khan,Varun Dhawan"
,Teri Bhabhi Song Lyrics,hindi Lyrics,"Teri Bhabhi Song Lyrics<BR><BR><BR>Hey, Hey<BR>Heyyy Haan<BR>Dhin Dhina Dhin Dhaa<BR>Dhin Dhina Dhin Dhaa<BR>Sab Jidhar Woh Hai<BR>Udhar Dekh Rahein Hain<BR>Dekh Rahein Hain<BR>Dekh Rahein HainSab Jidhar Woh Hai<BR>Udhar Dekh Rahein Hain<BR>Hum Toh Public Ki Nazar Dekh Rahe<BR>Main Samajh Hi Gaya Tha<BR>Ki Baat Kuch Badi Hai<BR>Agar Baat Kuch Badi Nahi Toh<BR>Kuch Toh Gadbadi Hai<BR>Hatt Ja Samne Se<BR>Teri Bhabhi Khadi Hai<BR>Hatt Ja Samne Se<BR>Meri Ankhiyan Ladi Hai<BR>Abey Hatt Ja Samne Se<BR>Teri Bhabhi Khadi Hai<BR>Hatt Ja Samne Se<BR>Meri Ankhiyan Ladi Hai<BR>Feeling!<BR>Apni Baahon Mein Tujhko Main Le Lunga<BR>Teri Zulfon Se Day Night Khelunga<BR>Jo Tu Ruthegi Tujhko Manayunga<BR>Tere Daddy Ke Nakhre Uthayunga<BR>Jab Bhi Tu Dekhti Hai<BR>Meri Jaan Mujhko Hass Ke<BR>Aisa Lage Hai Mujhko<BR>Naagan Gayi Hai Das Ke<BR>Hatt Ja Samne Se<BR>Oh Bhabhi, Oh Bhabhi<BR>Oh Bhabhi Bhabhi Bhabhi<BR>Hatt Ja Samne Se<BR>Tere Bhaiya Khade Hain<BR>Arey Hatt Ja Samne Se<BR>Humre Naina Lade Hain<BR>Sab Idhar Main Hu Jidhar<BR>Dekh Rahein Hain<BR>Hum Toh Public Ki Nazar Dekh Rahe<BR>Main Samajh Hi Gayi Thi<BR>Ki Baat Kuch Badi Hai<BR>Agar Baat Kuch Badi Nahi Toh<BR>Kuch Toh Gadbadi Hai<BR>Humri Bhabhi Khadi Hai<BR>Inki Ankhiyan Ladi Hai<BR>Teri Bhabhi Khadi Hai<BR>Bhabhi Khadi Hai<BR>Oh Tere Bhaiya Khade Hain<BR>Bhaiya Khade Hain<BR>Teri Bhabhi E E E E E<BR>Tere Bhaiya Ya Ya Ya Ya<BR>Oh Bhabhi, Oh Bhabhi<BR>Oh Bhabhi Bhabhi Bhabhi..<BR>Ae Haan!<BR><BR><BR><BR><BR>Movie / Album:Coolie No. 1<BR>Language:Hindi<BR>Lyricist:Danish Sabri<BR>Singer's:Dev Negi, Javed–Mohsin, Neha Kakkar<BR>Music Director:Javed – Mohsin<BR>Label:Zee Music Company<BR>Year:2020<BR>Starring:Sara Ali Khan, Varun Dhawan","Teri Bhabhi Song Lyrics,Coolie No. 1,Hindi,Danish Sabri,Dev Negi,Javed–Mohsin,Neha Kakkar,Javed – Mohsin,Zee Music Company,2020,Sara Ali Khan,Varun Dhawan"
,Ummeed Hai Song Lyrics,hindi Lyrics,"Ummeed Hai Song Lyrics<BR><BR><BR>Mann le ke tu chala hai jalti aanch pe<BR>Darr hai ki pighal na jayen sapne kaanch ke<BR>Ik din sabko mil jayega khud hi apne aap<BR>Kehke tu na de kisi ko baaton ke jawab<BR>Tu haarna nahi jab tak dil mein<BR>Jeet hai jeet hai<BR>Sab kuch mumkin hai agar tujhme<BR>Ummeed hai ummeed hai<BR>Aasan nahi hai safar tera<BR>Aaya nahi hai hashra tera<BR>Milti agar hai nakamiyan<BR>Raahon mein hain jo dushwariyan<BR>Ye likh le teri koshishen jaayengi na kharab<BR>Taklifon ke aage kahin khushiyaan hain beshisaab<BR>Tu haarna nahi jab tak dil mein<BR>Jeet hai jeet hai<BR>Sab kuch mumkin hai agar tujhme<BR>Ummeed hai ummeed hai<BR><BR><BR><BR>Movie / Album:Unpaused<BR>Language:Hindi<BR>Lyricist:Kunaal Vermaa<BR>Singer's:Jubin Nautiyal<BR>Music Director:Payal Dev<BR>Label:Amazon Prime Video India<BR>Year:2020<BR>Starring:Gulshan Devaiah, Sumeet Vyas","Ummeed Hai Song Lyrics,Unpaused,Hindi,Kunaal Vermaa,Jubin Nautiyal,Payal Dev,Amazon Prime Video India,2020,Gulshan Devaiah,Sumeet Vyas"
,Nayi Dhoop Song Lyrics,hindi Lyrics,"Nayi Dhoop Song Lyrics<BR><BR><BR>Maana ke aaj kal rootha waqt hai<BR>Zindagi ka safar thoda sakht hai<BR>Ruka hua hai iss jahan ka karwaan<BR>Ye raat jaayegi guzar tu dekhna<BR>Nayi dhoop hai<BR>Khidkiyon pe ise aane de<BR>Andhere hain kis kaam ke<BR>Tu inhein jaane de<BR>Nayi dhoop hai<BR>Khidkiyon pe isse aane de<BR>Andhere hain kis kaam ke<BR>Tu inhein jaane de<BR><BR><BR><BR>Movie / Album:Unpaused<BR>Language:Hindi<BR>Lyricist:Rashmi Virag<BR>Singer's:Zara Khan<BR>Music Director:Tanishk Bagchi<BR>Label:Amazon Prime Video India<BR>Year:2020<BR>Starring:Gulshan Devaiah, Sumeet Vyas","Nayi Dhoop Song Lyrics,Unpaused,Hindi,Rashmi Virag,Zara Khan,Tanishk Bagchi,Amazon Prime Video India,2020,Gulshan Devaiah,Sumeet Vyas"
