Date,Title,Categories,Lyrics,Tag
,,English Lyrics,"<h2 style=""text-align: center;""></h2> <BR><BR><BR><p style=""text-align: center;"">[Verse 1]<BR>I met you in the dark, you lit me up<BR>You made me feel as though I was enough<BR><BR>We danced the night away, we drank too much<BR>I held your hair back when you were throwin' up<BR><BR><BR>[Pre-Chorus]<BR>Then, you smiled over your shoulder<BR>For a minute, I was stone-cold sober<BR>I pulled you closer to my chest<BR>And you asked me to stay over<BR>I said, ""I already told ya<BR>I think that you should get some rest""<BR><BR><BR>Ken Carson 'Freestyle 2' Official Lyrics & Meaning | Verified<BR>[Chorus]<BR>I knew I loved you then, but you'd never know<BR>'Cause I played it cool when I was scared of letting go<BR>I knew I needed you, but I never showed<BR>But I wanna stay with you until we're grey and old<BR><BR><BR>[Post-Chorus]<BR>Just say you won't let go<BR>Just say you won't let go<BR><BR>[Verse 2]<BR>I'll wake you up with some breakfast in bed<BR>I'll bring you coffee with a kiss on your head<BR><BR>And I'll take the kids to school, wave them goodbye<BR>And I'll thank my lucky stars for that night<BR><BR><BR>[Pre-Chorus]<BR>When you looked over your shoulder<BR>For a minute, I forget that I'm older<BR>I wanna dance with you right now, woah<BR><BR>And you look as beautiful as ever<BR>And I swear that every day, you'll get better<BR>You make me feel this way somehow<BR><BR><BR>[Chorus]<BR>I'm so in love with you and I hope you know<BR>Darlin', your love is more than worth its weight in gold<BR>We've come so far, my dear, look how we've grown<BR>And I wanna stay with you until we're grey and old[Post-Chorus]<BR>Just say you won't let go<BR>Just say you won't let go<BR><BR>[Bridge]<BR>I wanna live with you even when we're ghosts<BR>'Cause you were always there for me when I needed you most<BR><BR><BR>[Chorus]<BR>I'm gonna love you till my lungs give out<BR>I promise till death we part, like in our vows<BR>So, I wrote this song for you, now everybody knows<BR>That it's just you and me till we're grey and old<BR><BR><BR>[Post-Chorus]<BR>Just say you won't let go<BR>Just say you won't let go<BR>Just say you won't let go<BR>Oh, just say you won't let go</p><BR><BR><BR><BR><blockquote>Produced By:Alex Beitzke, Bradley Spence & Steve Solomon</blockquote>",",R&B,Pop,UK Pop,UK R&B,Alternative R&B,Adult Contemporary,Easy Listening,Acoustic,Singer-Songwriter,Ballad,UK"
,,English Lyrics,"<h2 style=""text-align: center;""></h2> <BR><BR><BR><p style=""text-align: center;"">[Verse 1]<BR>I'm still a fan even though I was salty<BR>Hate to see you with some other broad, know you happy<BR>Hate to see you happy if I'm not the one drivin'<BR><BR><BR>[Pre-Chorus]<BR>I'm so mature, I'm so mature<BR><BR>I'm so mature, I got me a therapist to tell me there's other men<BR><BR>I don't want none, I just want you<BR>If I can't have you, no one should, I might<BR><BR>Ken Carson 'Freestyle 2' Official Lyrics & Meaning | Verified<BR>[Chorus]<BR>I might kill my ex, not the best idea<BR>His new girlfriend's next, how'd I get here?<BR>I might kill my ex, I still love him, though<BR><BR>Rather be in jail than alone<BR><BR><BR>[Verse 2]<BR>I get the sense that it's a lost cause<BR>I get the sense that you might really love her<BR>The text gon' be evidence, this text is evidence<BR>I try to ration with you, no murders, no crime of passion<BR>But, damn, you was out of reach<BR>You was at the farmer's market with your perfect peach<BR><BR>Now I'm in amazement, playin' on my patience<BR>Now you layin' face-down, got me singin' over a beat<BR><BR>[Pre-Chorus]<BR>I'm so mature, I'm so mature<BR><BR>I'm so mature, I got me a therapist to tell me there's other men<BR><BR>I don't want none, I just want you<BR>If I can't have you, no one will, I (I might)<BR><BR>[Chorus]<BR>I might kill my ex, not the best idea<BR>His new girlfriend's next, how'd I get here?<BR>I might kill my ex, I still love him, though<BR><BR>Rather be in jail than alone[Bridge]<BR>I did it all for love (Love)<BR>I did it all on no drugs (Drugs)<BR>I did all of this sober<BR>I did it all for us, oh<BR>I did it all for love (Love)<BR>I did all of this on no drugs (Drugs)<BR>I did all of this sober<BR>Don't you know I did it all for us? (I'm gon' kill your ass tonight)<BR><BR><BR>[Chorus]<BR>Oh, I just killed my ex, not the best idea (Idea)<BR>Killed his girlfriend next, how'd I get here?<BR>I just killed my ex, I still love him, though (I do)<BR><BR>Rather be in hell than alone</p><BR><BR><BR><BR><blockquote>Produced By:Carter Lang & Rob Bisel</blockquote>",",Pop,Alternative R&B,Alternative Pop,Psychedelic,Bedroom Pop,Trip-Hop"
,,English Lyrics,"<h2 style=""text-align: center;""></h2> <BR><BR><BR><p style=""text-align: center;"">[Verse 1]<BR>Strange light revolves around you<BR>You float across the room<BR><BR>Your touch is made of something<BR>Heaven can't hold a candle to<BR><BR>You're made of something new<BR>Let's not get complicated<BR>Let's just enjoy the view<BR>It's hard to be a human<BR>So much to put an answer to<BR>But that's just what we do<BR><BR>Ken Carson 'Freestyle 2' Official Lyrics & Meaning | Verified<BR>[Chorus]<BR>God only knows where this could go<BR>And even if our love starts to grow out of control<BR>And you and me go up in flames<BR>Heaven won't be the same<BR><BR><BR>[Verse 2]<BR>I'm having revelations<BR>You dance across the floor<BR>Beyond infatuation<BR>How I obsessively adore you<BR>That's what I do<BR><BR>[Pre-Chorus]<BR>I believe, I believe<BR>I could die in your kiss<BR>No, it doesn't get, doesn't get<BR>Better than this<BR><BR>[Chorus]<BR>God only knows where this could go<BR>And even if our love starts to grow out of control<BR>And you and me go up in flames<BR>Heaven won't be the same<BR>God only knows where this could go<BR>And even if our love starts to grow out of control<BR>And you and me go up in flames<BR>Heaven won't be the same[Post-Chorus]<BR>(Heaven won't be the same)<BR><BR>[Pre-Chorus]<BR>I believe, I believe<BR>I could die in your kiss<BR>No, it doesn't get, doesn't get<BR>Better than, better than this<BR><BR>[Chorus]<BR>God only knows where this could go<BR>And even if our love starts to grow out of control (Even if our love)<BR>And you and me go up in flames<BR>Heaven won't be the same<BR>God only knows where this could go<BR>And even if our love starts to grow out of control<BR>And you and me go up in flames<BR>Heaven won't be the same</p><BR><BR><BR><BR><blockquote>Produced By:Joel Little & John Ryan</blockquote>",",Pop,Ireland"
,,English Lyrics,"<h2 style=""text-align: center;""></h2> <BR><BR><BR><p style=""text-align: center;"">[Verse 1: Stephen Sanchez]<BR>Georgia<BR>Wrap me up in all your—<BR><BR>I want ya<BR>In my arms, oh, let me<BR>Hold ya<BR>I'll never let you go again<BR>Like I did<BR>Oh, I used to say<BR><BR>[Chorus: Stephen Sanchez & Georgia Brown]<BR>""I would never fall in love again until I found her""<BR><BR>I said, ""I would never fall, unless it's you I fall into""<BR>I was lost within the darkness, but then I found her<BR><BR>I found you<BR><BR>Ken Carson 'Freestyle 2' Official Lyrics & Meaning | Verified<BR>[Verse 2: Stephen Sanchez & Georgia Brown]<BR>Georgia<BR>Pulled me in, I asked to<BR>Love her<BR>Once again, you fell, I<BR>Caught ya<BR>I'll never let you go again<BR>Like I did<BR>Oh, I used to say<BR><BR>[Chorus: Stephen Sanchez & Georgia Brown]<BR>""I would never fall in love again until I found her""<BR><BR>I said, ""I would never fall unless it's you I fall into""<BR>I was lost within the darkness, but then I found her<BR><BR>I found you<BR><BR>[Guitar Solo]<BR><BR>[Chorus: Stephen Sanchez & Georgia Brown]<BR>""I would never fall in love again until I found her""<BR><BR>I said, ""I would never fall unless it's you I fall into""<BR>I was lost within the darkness, but then I found her<BR><BR>I found you</p><BR><BR><BR><BR><blockquote>Produced By:Konrad Snyder & Ian Fitchuk</blockquote>",",Pop,Acoustic,Ballad,Singer-Songwriter,Bedroom Pop,Soft Rock,Alternative Pop,Alternative"
,,English Lyrics,"<h2 style=""text-align: center;""></h2> <BR><BR><BR><p style=""text-align: center;"">[Chorus: Rihanna]<BR>Work, work, work, work, work, work<BR>He said me haffi<BR>Work, work, work, work, work, work<BR>He see me do mi<BR>Dirt, dirt, dirt, dirt, dirt, dirt<BR>So me put in<BR>Work, work, work, work, work, work<BR>When you ah guh<BR>Learn, learn, learn, learn, learn?<BR>Me nuh cyar if him<BR>Hurt, hurt, hurt, hurt, hurting<BR><BR><BR>Ken Carson 'Freestyle 2' Official Lyrics & Meaning | Verified<BR>[Verse 1: Rihanna]<BR>Dry! Me ah desert him<BR>Nuh time to have you lurking<BR>Him ah go act like he nuh like it<BR>You know I dealt with you the nicest<BR><BR>Nuh body touch me, you nuh righteous<BR>Nuh badda, text me in a crisis<BR><BR>I believed all of your dreams, adoration<BR>You took my heart and my keys and my patience<BR><BR>You took my heart on my sleeve for decoration<BR><BR>You mistaken my love I brought for you for foundation<BR>All that I wanted from you was to give me<BR>Something that I never had<BR>Something that you've never seen<BR>Something that you've never been<BR><BR>Mmmmm<BR>But I wake up and act like nothing's wrong<BR>Just get ready fi<BR><BR><BR>[Chorus: Rihanna]<BR>Work, work, work, work, work, work<BR>He said me haffi<BR>Work, work, work, work, work, work<BR>He see me do mi<BR>Dirt, dirt, dirt, dirt, dirt, dirt!<BR>So me put in<BR>Work, work, work, work, work, work<BR><BR>Ner, ner, ner, ner, ner, ner<BR>When yuh ago learn, learn, learn, learn, learn, learn?<BR>Before the tables turn, turn, turn, turn, turn, turn[Verse 2: Rihanna]<BR>Beg you something, please<BR>Baby, don't you leave<BR>Don't leave me stuck here in the streets, uh-huh<BR>If I get another chance to<BR>I will never, no, never neglect you<BR><BR>I mean, who am I to hold your past against you?<BR><BR>I just hope that it gets to you<BR>I hope that you see this through<BR>I hope that you see this true<BR>What can I say?<BR>Please recognize I'm tryin', babe<BR>I have to<BR><BR><BR>[Chorus: Rihanna]<BR>Work, work, work, work, work, work<BR>He said me haffi<BR>Work, work, work, work, work, work<BR>He see me do mi<BR>Dirt, dirt, dirt, dirt, dirt, dirt<BR>So me put in<BR>Work, work, work, work, work, work<BR>When you ah guh<BR>Learn, learn, learn, learn, learn?<BR>Me nuh cyar if him<BR>Hurt, hurt, hurt, hurt, hurting[Verse 3: Drake with Rihanna]<BR>Yeah, okay<BR>You need to get done, done, done, done at work, come over<BR><BR>We just need to slow the motion<BR><BR>Don't give that away to no one<BR>Long distance, I need you<BR>When I see potential, I just gotta see it through<BR>If you had a twin, I would still choose you<BR><BR>I don't wanna rush into it if it's too soon<BR><BR>But I know you need to get done, done, done, done<BR>If you come over<BR><BR>Sorry if I'm way less friendly<BR>I got niggas tryna end me, oh (Yeah)<BR><BR>I spilled all my emotions tonight, I'm sorry<BR><BR>Rollin', rollin', rollin', rollin', rollin'<BR>How many more shots until you're rollin'?<BR><BR>We just need a face-to-face<BR>You could pick the time and the place<BR>You spent some time away<BR>Now you need to forward and give me all the<BR><BR><BR>[Chorus: Rihanna & Drake]<BR>Work, work, work, work, work, work<BR>He said me haffi<BR>Work, work, work, work, work, work<BR>He see me do mi<BR>Dirt, dirt, dirt, dirt, dirt, dirt<BR>So me put in<BR>Work, work, work, work, work, work<BR>When you ah guh<BR>Learn, learn, learn, learn, learn?<BR>Me nuh cyar if him<BR>Hurt, hurt, hurt, hurt, hurting<BR><BR><BR>[Outro: Rihanna]<BR>Mmmmm, mmmmm<BR>Mmmmm, mmmmm<BR>Work, work, work, work, work, work<BR>Mmmmm, mmmmm<BR><BR><BR>[Click here to learn more about the making of ""Work""]<BR><BR><BR>[Produced by Boi-1da]</p><BR><BR><BR><BR><blockquote>Featuring:Drake</blockquote>",",Pop,R&B,Jamaica,Pop-R&B,Contemporary R&B,Pop Rap,Patois,Dancehall"
,,English Lyrics,"<h2 style=""text-align: center;""></h2> <BR><BR><BR><p style=""text-align: center;"">[Intro: Tatiana Manaois & Toosii]<BR>But nobody's<BR>Gonna make you change what you probably<BR>Don't like anyway 'bout you darlin'<BR>So you might as well<BR>Hmm-mmm<BR>Be somebody<BR>Who can make you face what you're guardin'<BR>Open up the gates where you're heart is<BR>And just let yourself (ADELSO on this)<BR>Yeah<BR><BR>Ken Carson 'Freestyle 2' Official Lyrics & Meaning | Verified<BR>[Chorus: Toosii]<BR>I'm on the stage right now, singin' your favorite song<BR>Look in the crowd, and you're nowhere to be found as they sing along<BR>I say, ""You look good without no make-up, no lashes, even better when you wake up"" (Oh, oh, oh)<BR><BR>[Verse 1: Toosii]<BR>I see the look on your face, I see you're hidin' the hate<BR>I see you're lookin' for someone to scoop you right off of your feet<BR>You want to ride in the Wraith<BR>You want to go out on dates<BR>You want somebody to come bring you flowers<BR>Someone to talk to for hours<BR>Wash your back while y'all sit in the shower (Yeah)<BR>Someone to tell you you're beautiful<BR>Someone to tell you and mean it<BR>Someone to tell you, ""I love you"" everyday and don't got a reason<BR>Talkin' 'bout someone to bring you peace<BR>Someone to help you sleep (Yeah)<BR>Someone to pick you up when you're feelin' down, feelin' lonely<BR><BR>[Pre-Chorus: Toosii]<BR>Need somebody who can make it better<BR>Somebody who can open up those gates<BR>Open up those gates to your heart<BR>Only if you'll let me[Chorus: Toosii]<BR>I'm on the stage right now, singin' your favorite song<BR>Look in the crowd, and you're nowhere to be found as they sing along<BR>I say, ""You look good without no make-up, no lashes, even better when you wake up"" (Oh, oh, oh)<BR><BR>[Verse 2: Toosii]<BR>I see the look on your face, I see you're lookin' for peace<BR>I see you're tired of the hurt, tired of the pain, tired of the nights where you can't get no sleep<BR>I see you're tired thinkin' 'bout if he cheat<BR><BR>See you tired thinkin' 'bout if you're leavin'<BR>See you tired of bein' so tired<BR>And you're damn sure ain't gettin' even<BR><BR>[Pre-Chorus: Toosii]<BR>Need somebody who can make it better<BR>Somebody who can open up those gates<BR>Open up those gates to your heart<BR>Only if you'll let me<BR><BR>[Chorus: Toosii]<BR>I'm on the stage right now, singin' your favorite song<BR>Look in the crowd, and you're nowhere to be found as they sing along<BR>I say, ""You look good without no make-up, no lashes, even better when you wake up"" (Oh, oh, oh)</p><BR><BR><BR><BR><blockquote>Produced By:ADELSO & Tatiana Manaois</blockquote>",",Rap,R&B,New York"
,,English Lyrics,"<h2 style=""text-align: center;""></h2> <BR><BR><BR><p style=""text-align: center;"">[Verse 1: Chris Martin]<BR>I used to rule the world<BR>Seas would rise when I gave the word<BR><BR>Now in the morning, I sleep alone<BR>Sweep the streets I used to own<BR><BR><BR>[Instrumental Interlude]<BR><BR>[Verse 2: Chris Martin]<BR>I used to roll the dice<BR>Feel the fear in my enemies' eyes<BR><BR>Listen as the crowd would sing<BR>""Now the old king is dead, long live the king""<BR><BR>One minute, I held the key<BR><BR>Next, the walls were closed on me<BR><BR>And I discovered that my castles stand<BR>Upon pillars of salt and pillars of sand<BR><BR><BR>Ken Carson 'Freestyle 2' Official Lyrics & Meaning | Verified<BR>[Chorus: Chris Martin]<BR>I hear Jerusalem bells a-ringin'<BR>Roman cavalry choirs are singin'<BR><BR>Be my mirror, my sword and shield<BR><BR>My missionaries in a foreign field<BR><BR>For some reason I can't explain<BR>Once you'd gone, there was never<BR><BR>Never an honest word<BR>And that was when I ruled the world<BR><BR><BR>[Interlude]<BR><BR>[Verse 3: Chris Martin]<BR>It was the wicked and wild wind<BR>Blew down the doors to let me in<BR><BR>Shattered windows and the sound of drums<BR>People couldn't believe what I'd become<BR><BR>Revolutionaries wait<BR>For my head on a silver plate<BR><BR>Just a puppet on a lonely string (Mmm, mmm)<BR>Aw, who would ever wanna be king?<BR><BR><BR>[Chorus: Chris Martin]<BR>I hear Jerusalem bells a-ringin'<BR>Roman cavalry choirs are singin'<BR><BR>Be my mirror, my sword and shield<BR><BR>My missionaries in a foreign field<BR><BR>For some reason I can't explain<BR>I know Saint Peter won't call my name<BR><BR>Never an honest word<BR>But that was when I ruled the world[Bridge: Brian Eno, Guy Berryman, Jonny Buckland & Will Champion]<BR>Oh-oh-oh, oh-oh, oh<BR>Oh-oh-oh, oh-oh, oh<BR>Oh-oh-oh, oh-oh, oh<BR>Oh-oh-oh, oh-oh, oh<BR><BR>[Chorus: Chris Martin, Brian Eno, Guy Berryman, Jonny Buckland & Will Champion]<BR>(Oh-oh-oh, oh-oh, oh)<BR>Hear Jerusalem bells a-ringin'<BR><BR>(Oh-oh-oh, oh-oh, oh)<BR>Roman cavalry choirs are singin'<BR><BR>(Oh-oh-oh, oh-oh, oh)<BR>Be my mirror, my sword and shield<BR><BR>(Oh-oh-oh, oh-oh, oh)<BR>My missionaries in a foreign field<BR><BR>(Oh-oh-oh, oh-oh, oh)<BR>For some reason I can't explain<BR><BR>(Oh-oh-oh, oh-oh, oh)<BR>I know Saint Peter won't call my name<BR><BR>Never an honest word<BR>But that was when I ruled the world<BR><BR><BR>[Outro]<BR>Mmm, mmm, mmm, mmm<BR>Mmm, mmm, mmm, mmm<BR>Mmm, mmm</p><BR><BR><BR><BR><blockquote>Produced By:Brian Eno, Markus Dravs & Rik Simpson</blockquote>",",Pop,Rock,Rock Pop,UK Pop,Chamber Pop,Alternative Pop,Alternative,Alternative Rock,Classical Crossover,Art Pop,Art Rock,Singer-Songwriter,Orchestral,Adult Alternative,Adult Contemporary,Pop-Rock,Chamber Music,Baroque Pop,British Rock,Soundtrack,UK"
"May 20, 2020",,English Lyrics,"<h2 style=""text-align: center;""></h2> <BR><BR><BR><p style=""text-align: center;"">[Verse 1]<BR>Yubikiri genman hora demo fuitara<BR>Hari demo nan demo nomasete itadaki Monday<BR>It doesn't matter if it's Sunday<BR><BR>Kagami yo kagami yo kono yo de ichiban<BR>Kawaru koto no nai ai wo kureru no wa dare<BR>No need to ask 'cause it's my darling<BR><BR>[Chorus]<BR>Watashi no saigo wa anata ga ii (Ii)<BR>Anata to kono mama osaraba suru yori<BR>Shinu no ga ii wa<BR>Shinu no ga ii wa<BR>Sando no meshi yori anta ga ii no yo (Ii)<BR>Anta to kono mama osaraba suru yo ka<BR>Shinu no ga ii wa<BR>Shinu no ga ii wa<BR><BR>Ken Carson 'Freestyle 2' Official Lyrics & Meaning | Verified<BR>[Verse 2]<BR>Soredemo tokidoki uwatsuku my heart<BR>Shindemo naorana naoshite misemasu baby<BR>Yeah, I ain't nothin' but ya baby<BR>Ushinatte hajimete kigatsuku nante<BR>Sonna dasai koto mou shita nai no yo goodbye<BR>Oh, don't you ever say bye-bye<BR>Yeah<BR><BR>[Chorus]<BR>Watashi no saigo wa anata ga ii (Ii)<BR>Anata to kono mama osaraba suru yori<BR>Shinu no ga ii wa (Shinu no ga ii wa)<BR>Shinu no ga ii wa (Shinu no ga ii wa)<BR>Sando no meshi yori anta ga ii no yo (Ii)<BR>Anta to kono mama osaraba suru yo ka<BR>Shinu no ga ii wa (Shinu no ga ii wa)<BR>Shinu no ga ii wa (Shinu no ga ii wa)<BR><BR>[Instrumental Interlude]<BR><BR>[Chorus]<BR>Watashi no saigo wa anata ga ii<BR>Anata to kono mama osaraba suru yori<BR>Shinu no ga ii wa (Shinu no ga ii wa)<BR>Shinu no ga ii wa (Shinu no ga ii wa)<BR>Sando no meshi yori anta ga ii no yo<BR>Anta to kono mama osaraba suru yo ka<BR>Shinu no ga ii wa (Shinu no ga ii wa)<BR>Shinu no ga ii wa (Shinu no ga ii wa)[Outro]<BR>Soredemo tokidoki uwatsuku my heart<BR>Sonna dasai no wa mou iranai no yo bye-bye<BR>I'll always stick with ya, my baby</p><BR><BR><BR><BR><blockquote>Release Date:May 20, 2020</blockquote>",",Pop,Romanized"
,,English Lyrics,"<h2 style=""text-align: center;""></h2> <BR><BR><BR><p style=""text-align: center;"">[Pre-Chorus: Central Cee & Passenger]<BR>Well, you only need the light when it's burning low<BR>Only miss the sun when it starts to snow (Nastylgia)<BR>Only know you love her when you let her go<BR>Alright<BR><BR><BR>[Chorus: Central Cee]<BR>Only know you've been high when you're feeling low<BR>Only hate the roads when you're missing home<BR>Only know you love her when you let her go<BR>You said that pussy mine, so why'd you let it go?<BR><BR>Haha, you're such a ho<BR><BR><BR>Ken Carson 'Freestyle 2' Official Lyrics & Meaning | Verified<BR>[Verse 1: Central Cee]<BR>I loved you until you try to get in my head<BR>And that's why I lost respect<BR><BR>You're doin' the most to get my attention, baby, I'm not impressed, uh<BR>I changed my bedsheets, but I still smell your flesh<BR><BR>I don't know how we got in this mess<BR>I rarely get this in-depth<BR>This girl make me question love<BR>This girl make me feel like less of a man 'cause I'm feelin' depressed and stuff<BR><BR>Can't believe I was willing to drop everyone and invest in us<BR>The last time that we fucked was fucked, the way you got up, got dressed and cut<BR><BR>Look, I thought that we could've been<BR>Maybe, I was too optimistic<BR>Tell me what you need, I'll provide everythin'<BR>Baby, you don't know what you're missin'<BR>Our chemistry felt like quantum physics, physics<BR>Feelin' your energy, feelin' your spirit<BR><BR>If this is the end, I need one more visit<BR>They're showin' me love, but I still feel empty<BR>I need somethin' a lot more fulfillin', uh<BR>Move out of London town then move to a rural village<BR><BR>You made me delete that pic off my phone<BR>But I close my eyes, still see that image<BR>Won't chase if my heart ain't in it, it's finished<BR><BR>Too far gone, can't fix it, bitch, this damage is done[Pre-Chorus: Central Cee & Passenger]<BR>Well, you only need the light when it's burning low<BR>Only miss the sun when it starts to snow<BR>Only know you love her when you let her go<BR>Alright<BR><BR><BR>[Chorus: Central Cee]<BR>Only know you've been high when you're feeling low<BR>Only hate the roads when you're missing home<BR>Only know you love her when you let her go<BR>You said that pussy mine, so why'd you let it go?<BR><BR>Haha, you're such a ho<BR><BR><BR>[Verse 2: Central Cee]<BR>I called four times on a private caller, I feel like a creep, uh<BR><BR>I know there's plenty of fish in the sea, but I fucked those girls, got you in my mind<BR><BR>When you fucked those guys, did you wish they were me?<BR>Turn 'em around and I put them in doggy, I don't even fuck them in missionary<BR><BR>There's no intimacy and additionally, it's obligatory when I fucked that opp thot<BR>I don't even take my socks off<BR>And I don't even know why I did it, as soon as I'm finished, I'm gettin' them dropped off<BR><BR>And what makes it worse, I know that she's tellin' her friends that I chopped her<BR><BR>I don't know what you're doin' when we're not together, it's drivin' me mad 'cause I can't even stop ya<BR><BR>Typed in your bank details and sent you a bag, I'm rich like, bitch, unblock me<BR>Make it quick, can you do that promptly?<BR>If you won't give me your love for free, I'll buy it, just tell me how much it'll cost me<BR>Your new man ain't got nothin' on me<BR>Fuck your annual wage, I can make that monthly, huh, alright[Pre-Chorus: Central Cee & Passenger]<BR>Well, you only need the light when it's burning low<BR>Only miss the sun when it starts to snow<BR>Only know you love her when you let her go<BR>Alright<BR><BR><BR>[Chorus: Central Cee]<BR>Only know you've been high when you're feeling low<BR>Only hate the roads when you're missing home<BR>Only know you love her when you let her go<BR>You said that pussy mine, so why'd you let it go?<BR><BR>Haha, you're such a ho</p><BR><BR><BR><BR><blockquote>Produced By:Nastylgia & KwolleM</blockquote>",",Rap,Emo Rap,UK Drill,Drill,UK Rap,UK"
,,English Lyrics,"<h2 style=""text-align: center;""></h2> <BR><BR><BR><p style=""text-align: center;"">[Verse 1]<BR>I was hardly in the back of the bus, and I couldn't figure it out<BR>There was nineteen, maybe twenty of us, felt like I could just do without<BR>It's like a bad dream, tryna keep my eyes shut and I'm starting to doubt<BR>If I'll find lightning in a bottle, 'cause I've never had anyone<BR><BR>[Pre-Chorus]<BR>So, if I don't stay, will it matter?<BR>'Cause there's no way to break the pattern<BR><BR>[Chorus]<BR>And I don't wanna feel alone<BR>My past is not my fault<BR>But my world keeps on breaking<BR>It's always been the same<BR>Half-drunk, friends feeling like strangers<BR>Nothing ever changes<BR>I know I'm forever dancing all alone<BR><BR>Ken Carson 'Freestyle 2' Official Lyrics & Meaning | Verified<BR>[Verse 2]<BR>I've been running before I knew how to walk, when will I ever stop?<BR>Always five feet too far from the ones who said they'd love me for who I was<BR>And the silence of the beat of my heart has never been any louder<BR>And it's frightening if I always end up feeling no one's around<BR><BR>[Pre-Chorus]<BR>So, if I don't stay, will it matter?<BR>'Cause there's no way to break the pattern<BR><BR>[Chorus]<BR>And I don't wanna feel alone<BR>My past is not my fault<BR>But my world keeps on breaking<BR>It's always been the same<BR>Half-drunk, friends feeling like strangers<BR>Nothing ever changes<BR>I know I'm forever dancing all alone<BR><BR>[Outro]<BR>Dancing all alone<BR>Dancing all alone</p><BR><BR><BR><BR><blockquote>Produced By:Steve Rusch</blockquote>",",Pop,Australia"
