Date,Title,Categories,Lyrics,Tag
"July 20, 2022",Mangal Gaan Lyrics – Sona Mohapatra,Hindi songs lyrics,Mangal Gaan Lyrics<BR><BR><BR>Gaaye Jag Mangal Gaan<BR>Gaaye Jag Mangal Gaan<BR>Shiv Parvati Ka Milan Mahaan<BR>Gaaye Jag Mangal GaanGagan Jhuka Dharti Ke Aage<BR>Gagan Jhuka Dharti Ke Aage<BR>Gagan Jhuka Haan HoGagan Jhuka Dharti Ke Aage<BR>Sur Nar Muni Ke Bhagya Hai Jaage<BR>Naache Re Dam Dam Damru Baaje<BR>Naache Re Dam Dam Damru BaajeGaaye Jag Mangal<BR>Gaaye Jag Mangal<BR>Gaaye Jag Mangal GaanTa Ta Thai Ta Ta Thai<BR>Jai Mahesh Jatajoot<BR>Kanth Sohe Kaal Kooth<BR>Teen Netra<BR>Chandra Maal Gal Mein<BR>Mundan Ki Maal Gauri<BR>Ardhaang Shang<BR>Bharm Lashat Ang Ang Jaaki<BR>Mahima Apaar Ved Ratat JaakiDhanan Na Dhi Ta Dhanan Na Dhi Ta<BR>Dhi Dhi Ta Dhi Dhi Tha<BR><BR><BR><BR>song: mangal gaan<BR>singer: sona mohapatra<BR>lyrics: traditional & sona mohapatra<BR>music: ram sampath & john paul<BR>label: zee music company,"Mangal Gaan Lyrics,mangal gaan,sona mohapatra,traditional & sona mohapatra,ram sampath & john paul"
"July 20, 2022",Thanks To My Haters Lyrics – Emiway Bantai,Hindi songs lyrics,"Thanks To My Haters Lyrics<BR><BR><BR>Rishbeats!Bure Wakt Ne Majboot Banaya Mujhe<BR>Main Bhaari Pad Gaya<BR>Jisne Halke Mein Liya Mujhe<BR>I Wanna Thanks All My Haters<BR>Ho Look What You Made UsHahaha<BR>Hasta Hoon Main Taaki Na Lagun Kamzor<BR>Hoon Main Stron<BR>Khud Ka Time Nahi, Laaya Maine Daur<BR>Malum Hai Na?Purani Baatein Sab Main Aaya Peechhe Chhod<BR>Peechhe Chhod Ke<BR>Jo Bhi Mila Hai Usmein Khush Rehne Ka Soch<BR>Khush RehEk Ki Zindagi Hai Khwahishein Hain Bohot<BR>Jo Kehte Bhai the Aaj Anjaan Hai Wo Log<BR>Saare Anjaane<BR>Isliye Nahi Banata Ab Main Dost<BR>Na Koyi Nahi<BR>Jaanenge Raaz Teri Kar Denge Disclose<BR>Malum Hai Na?Auro Ke Lafde Mein Maze Lete Yeh Log<BR>Wo to Zaahir Hai<BR>Kuchh Log Ladte Taaki Dekhein Unhe Log<BR>Yeah Yeah!Badnami Hogi Agar Hoga Tera Naam Be<BR>Nafrat Se Zyada Pyaar Kamaya Maine Bro<BR>Malum Hain Na?<BR>HahahaBure Wakt Ne Majboot Banaya Mujhe<BR>Main Bhaari Pad Gaya<BR>Jisne Halke Mein Liya Mujhe<BR>I Wanna Thanks All My Haters<BR>Ho Look What You Made UsNa Maana Kabhi Haar Maine Soche<BR>Yahan Tak Main Pahuncha Kaise Hoon<BR>Na Maana Haar Kabhi<BR>Yeh Chahte Haar Jaaun<BR>Mujhe Aata Hai Sirf Jeetna<BR>Aur Jaana Kaafi Door<BR>Hai Jaana Kaafi Door Door DoorDheere Dheere Pahuncha Manzil Ke Paas<BR>Phir Samjha Main in Log Se Kitna Hoon Door<BR>Neeche Giraane Ye Karein Dua<BR>Lekin Inki Duayein Na Hoti Kabool<BR>Raja Hoon Scene Ka Bhidenga Kaise<BR>Bantai Aayela Yaha Karne Ko Rule<BR>Haara Nahi Kabhi Bhi Kisi Se<BR>Jabhi Bhi Bhidela Kisi Se Ye Mat Tu BhoolLogon Ka Pyar Aur Khuda Ne Banaya Mujhe<BR>Khud Aaya Mehnat Ki Hai<BR>Kaun Nahi Pehchaane Mujhe<BR>Baaki Ke Dusron Ke Kandhon Pe<BR>Chadh Ke Aana Chah Rahe<BR>Chadh Na Paa Rahe Ye Bechare, Yo!Bure Wakt Ne Majboot Banaya Mujhe<BR>Main Bhaari Pad Gaya<BR>Jisne Halke Mein Liya Mujhe<BR>I Wanna Thanks All My Haters<BR>Ho Look What You Made Us<BR>I Wanna Thanks All My Haters<BR>Ho Look What You Made Us<BR><BR><BR><BR>song: thanks to my haters<BR>singer: emiway bantai<BR>music: saint cardona x rishbeats<BR>lyrics: emiway bantai<BR>label: emiway bantai","Thanks To My Haters Lyrics,thanks to my haters,emiway bantai,saint cardona x rishbeats,emiway bantai"
"July 20, 2022",Dekh Lena Lyrics – Tony Kakkar,Hindi songs lyrics,Dekh Lena Lyrics<BR><BR><BR>Wo Waqt Bhi Aayega<BR>Dard Kam Ho Jaayega<BR>Tumhe Bhool Jayenge<BR>Dekh LenaZindagi Se Jaayenge<BR>Laut Ke Na Aayenge<BR>Tum Yaad Karoge<BR>Dekh LenaI Don’t Wanna Love You<BR>But I Still Love You<BR>I Don’t Wanna Love You<BR>But I Still Love YouTere Liye Yun Pagal The<BR>Saari Duniya Ko Chod Diya<BR>Tumse Dil Joda Tha Maine<BR>Tumne Hi Dil Tod DiyaPichhli Raat Ko Teri Yaad Ne<BR>Fir Se Hamein Sone Na Diya<BR>Tune Apna Banaya Nahi<BR>Kisi Aur Ka Bhi Hone Na DiyaLog Honge Hazaron Mein<BR>Hum Ek Nahi Honge<BR>Tanha Reh Jaoge<BR>Dekh LenaDil Toota Hai Mera<BR>Jab Dil Tootega Tera<BR>Tum Toot Jaoge<BR>Dekh Lena(Music)Shaam Dhale Kabhi Fursat Mein<BR>Tumhe Meri Yaad Sataayegi<BR>Yaad To Aisi Cheez Hai<BR>Na Chahoge Phir Bhi AayegiMujhko Jo Mohabbat Thi<BR>Tumko Wo Jab Hogi<BR>Mujhko Tab Samjhoge<BR>Dekh DenaI Don’t Wanna Love You<BR>But I Still Love You<BR>I Don’t Wanna Love You<BR>But I Still Love YouI Don’t Wanna Love You<BR>But I Still Love You<BR>I Don’t Wanna Love You<BR>But I Still Love You<BR><BR><BR><BR>song: dekh lena<BR>singer: tony kakkar<BR>music: tony kakkar<BR>lyrics: tony kakkar<BR>violen: kailash patra,"Dekh Lena Lyrics,dekh lena,tony kakkar,tony kakkar,tony kakkar"
"July 20, 2022",Muskuraa Lena Tum Lyrics – Palak Muchhal,Hindi songs lyrics,"Muskuraa Lena Tum Lyrics<BR><BR><BR>Din Ke Ujaalo Mein<BR>Meri Yaadein Saja Lena<BR>Raaton Ke Andhero Mein<BR>Tum Chaand Jala DenaMeri Mohabbat Ho Jinme<BR>Wo Aankhe Rahe Naa NamJab Bhi Meri Aaye to<BR>Muskura Lena Tum<BR>Jab Bhi Meri Aaye to<BR>Muskura Lena TumJab Bhi Meri Aaye to<BR>Muskuraa Lena Tum(Music)Jab Saavan Ki Baarish Ho<BR>Tum Baahein Khol Ke Rakhna<BR>Aaye Khidki Se Hawa<BR>Mehsoos Mujhe Tum KarnaJab Saavan Ki Baarish Ho<BR>Tum Baahein Khol Ke Rakhna<BR>Aaye Khidki Se Hawa<BR>Mehsoos Mujhe Tum KarnaYaadein Banaao Tum Itni<BR>Yaadein Banaao Tum Itni<BR>Meri Yaadein Pade Naa KamJab Bhi Meri Aaye to<BR>Muskura Lena Tum<BR>Haan Jab Bhi Meri Aaye to<BR>Muskura Lena TumJab Bhi Meri Aaye to<BR>Muskuraa Lena Tum(Music)Apni Tasveero Se Tum<BR>Kisse Fir Jee Lena<BR>Jab Chai Kabhi Banaao to<BR>Mere Hisse Ki Bhi Pee LenaHaan HaanApni Tasveero Se Tum<BR>Kisse Fir Jee Lena<BR>Jab Chai Kabhi Banaao to<BR>Mere Hisse Ki Pee LenaItna Jee Lo Saath Mere<BR>Mera Gam Bhi Lage Naa GamJab Bhi Meri Aaye to<BR>Muskura Lena Tum<BR>Haan Jab Bhi Meri Aaye to<BR>Muskura Lena TumJab Bhi Meri Aaye to<BR>Muskuraa Lena Tum<BR><BR><BR><BR>song: muskuraa lena tum<BR>starring: zain imam, sana khan<BR>singer: palak muchhal<BR>music: shameer tandon<BR>lyrics: priyanka r bala<BR>label: hitz music","Muskuraa Lena Tum Lyrics,muskuraa lena tum,zain imam,sana khan,palak muchhal,shameer tandon,priyanka r bala"
"July 20, 2022",Woh Tere Pyar Ka Gham Lyrics – Amruta Fadnavis,Hindi songs lyrics,Woh Tere Pyar Ka Gham Lyrics<BR><BR><BR>Tere Bina Ab to Sanam<BR>Tere Bina Ab to Sanam<BR>Jeena Lagta Hai Sitam<BR>Muskuraate Hai Ye Lab Mere<BR>Aankho Mein Hai GamTere Bina Ab to Sanam<BR>Jeena Lagta Hai Sitam<BR>Muskuraate Hai Ye Lab Mere<BR>Aankho Mein Hai Gam(Music)Tujhko Paaya to Laga<BR>Tu Hi Gharaunda Mera<BR>Teri Saanso Ki Mehek Me<BR>Dil Tha Gulshan MeraToota Hai Aaj Bharam<BR>Le Raha Aakhiri Dum<BR>Ladkhadaate Hai Kadam Mere<BR>Aankhe Bhi Hai Nam(Music)Chante Chalte Bas Yun Hi<BR>Raah Mein Tu Mil Jaana<BR>Dil Ke Jakhmo Pe Marham<BR>Mere Jara Kar JaanaToote Baahon Me Dum<BR>Bas Yahi Kar De Karam<BR>Mil Na Paaye is Jahaan Me to<BR>Lenge Fir JanamTere Bina Ab to Sanam<BR>Jeena Lagta Hai Sitam<BR>Mil Na Paaye is Jahaan Me to<BR>Lenge Fir Janam<BR>Mil Na Paaye is Jahaan Me to<BR><BR><BR><BR>song: woh tere pyar ka gham<BR>singer: amruta fadnavis<BR>music: jai kothari<BR>lyrics: amruta fadnavis<BR>label: saregama music,"Woh Tere Pyar Ka Gham Lyrics,woh tere pyar ka gham,amruta fadnavis,jai kothari,amruta fadnavis"
"July 19, 2022",Ek Pal Bhi Tumse Door Lyrics – Arunita Kanjilal,Hindi songs lyrics,"Ek Pal Bhi Tumse Door Lyrics<BR><BR><BR>Mausam Wo Suhana Lauta Do Hamein<BR>Mohabbat Ka Zamana Lauta Do HameinEk Pal Bhi Tummse Door<BR>Hum Na Reh Paaye<BR>Mere Sanam Tere Dar Pe<BR>Hum to Chale AayeEk Pal Bhi Tumse Door<BR>Hum Na Reh Paaye<BR>Mere Sanam Tere Dar Pe<BR>Hum to Chale AayeMere Sanam Tere Dar Pe<BR>Hum Toh Chale AayeO O O O O O<BR>O O OYaadon Ka Mausam Tadpaye<BR>Kitne Saavan Barsaaye<BR>Aankho Me Neendo Me Sapne Banke<BR>Pal Pal Humko TarsaayeDooriyon Se Jab Kabhi<BR>Dil Ye Ghabraye<BR>Mere Sanam Tere Dar Pe<BR>Hum to Chale AayeEk Pal Bhi Tumse Door<BR>Hum Na Reh Paaye<BR>Mere Sanam Tere Dar Pe<BR>Hum to Chale AayeEk Pal Bhi Tumse Door<BR>Hum Na Reh Paaye<BR>Mere Sanam Tere Dar Pe<BR>Hum to Chale AayeTere Dar Pe Mere Sanam<BR>Hum to Chale Aaye<BR>Ik Pal Bhi Tumse Door<BR>Hum Na Reh Paaye<BR>Door Hum Na Reh Paaye(Music)Khushboo Tumhari Ishq Banke<BR>Jism Mein Mere Behti Hai<BR>Jeena Nahi Hai Tere Bina<BR>Saansein Yahi Bas Kehti HaiSharara Mohabbat Ka<BR>Jab Dil Ko Jalaaye<BR>Mere Sanam Tere Dar Pe<BR>Hum to Chale AayeIk Pal Bhi Tumse Door<BR>Hum Na Reh Paaye<BR>Mere Sanam Tere Dar Pe<BR>Hum to Chale Aaye<BR><BR><BR><BR>song: ek pal bhi tummse door<BR>singer: arunita kanjilal, sayli kamble & ashish kulkarni<BR>music: himesh reshammiya<BR>lyrics: himesh reshammiya<BR>label: himesh reshammiya melodies","Ek Pal Bhi Tumse Door Lyrics,ek pal bhi tummse door,arunita kanjilal,sayli kamble & ashish kulkarni,himesh reshammiya,himesh reshammiya"
"July 19, 2022",Kahani (Sonu’s Version) Lyrics – Laal Singh Chaddha,Hindi songs lyrics,"Kahani (Sonu’s Version) Lyrics<BR><BR><BR>Hmm Hmm Hmm Hmm<BR>Pam Para Rara RumHo Raha Hai Jo<BR>Ho Raha Hai Kyon<BR>Tum Na Jaano Na Hum<BR>Pam Para Rara RumKya Pata Hum Mein Hai Kahani<BR>Ya Hai Kahani Mein Hum<BR>Pam Para Rara RumKabhi Kabhi Jo<BR>Ye Aadhi Lagti Hai<BR>Aadhi Likh De Tu<BR>Aadhi Reh Jaane De<BR>Jaane DeZindagi Hai Jaise<BR>Baarishon Ka Pani<BR>Aadhi Bhar Le Tu<BR>Aadhi Beh Jaane De<BR>Jaane DeHum Samundar Ka Ek Katra Hai<BR>Ya Samandar Hai Hum<BR>Pam Para Rara Rum(Music)Hai Teri Meri Samajhdari<BR>Samajh Paane Mein<BR>Ya Isko Na Samajhna Hi<BR>Samajhdari HaiBaithi Kaliyon Pe Titli Ke Jaisi<BR>Kabhi Rukne De Kabhi Udd Jaane De<BR>Jaane DeZindagi Hai Jaise<BR>Baarishon Ka Paani<BR>Aadhi Bhar Le Tu<BR>Aadhi Beh Jaane De<BR>Jaane DeHai Zarurat Se Thodi Jyada<BR>Ya Hai Zarurat Se Kam<BR>Pam Para Rara Rum(Music)Hai Barso Ki Jaani Hui<BR>Kabhi Saheli<BR>Ya Kabhi Jo Naa Sulajh Paaye<BR>Aisi PaheliYe Khushiyon Mein Shaamil<BR>Kare Saare Jahan Ko<BR>Kyun Man Bhi Hame Koi<BR>Shaahi AkeliHari Bhari Kisi Tehni Ke Jaisi<BR>Kabhi Khilne De<BR>Kabhu Murjhaane De<BR>Jaane DeZindagi Hai Jaise<BR>Baarishon Ka Paani<BR>Aadhi Bhar Le Tu<BR>Aadhi Beh Jaane De<BR>Jaane DeEk Lamhe Me Dard Jaisi Hai<BR>Dusre Me Marham<BR>Pam Para Rara RumKya Pata Hum Mein Hai Kahani<BR>Ya Hai Kahani Mein Hum<BR>Pam Para Rara Rum<BR><BR><BR><BR>song: kahani (sonu nigam’s version)<BR>movie: laal singh chaddha<BR>starring: aamir khan, kareena kapoor<BR>singer: sonu nigam<BR>music: pritam<BR>lyrics: amitabh bhattacharya<BR>label: t-series","Kahani (Sonu’s Version) Lyrics,kahani (sonu nigam’s version),laal singh chaddha,aamir khan,kareena kapoor,sonu nigam,pritam,amitabh bhattacharya"
"July 19, 2022",Done Kar Do Lyrics – Raksha Bandhan,Hindi songs lyrics,"Done Kar Do Lyrics<BR><BR><BR>Subah Ko Bhi Shaam Ko Bhi<BR>Teri Karun Main Jai Jaikar Ji<BR>Subah Ko Bhi Shaam Ko Bhi<BR>Teri Karun Main Jai Jaikar JiHo Mera Kaam, Oh Mera Kaam<BR>Ho Mera Kaam Done Kar Do Ek Baar Ji<BR>Ho Mera Kaam Done Kar Do Ek Baar JiLakhon Baari Bola Maine<BR>Hua Nahi Tera Upkaar JiHo Mera Kaam, Ho Mera Kaam<BR>Ho Mera Kaam Done Kar Do Ek Baar Ji<BR>Ho Mera Kaam Done Kar Do Ek Baar Ji(Music)File Khol Ke Naap Tol Ke<BR>Right Bol Ke Naiya Kar Do Paar JiHo Mera Kaam, Ho Mera Kaam<BR>Ho Mera Kaam Done Kar Do Ek Baar Ji<BR>Ho Mera Kaam Done Kar Do Ek Baar Ji(Music)Maine Lagayi Teri DP<BR>Apne Insta Ke Page’o Par<BR>Gaata Hoon Main Bhajan Tumhare<BR>Dholak Bajti Hai Mejon ParTu Bhi Jaane, Main Bhi Jaanu<BR>Tera Waqt Hoon 5 Star JiHo Mera Kaam, Ho Mera Kaam<BR>Ho Mera Kaam Done Kar Do Ek Baar Ji<BR>Ho Mera Kaam Done Kar Do Ek Baar Ji<BR><BR><BR><BR>song: done kar do<BR>movie: raksha bandhan<BR>starring: akshay kumar<BR>singer: navraj hans<BR>music: himesh reshammiya<BR>lyrics: irshad kamil<BR>label: zee music company","Done Kar Do Lyrics,done kar do,raksha bandhan,akshay kumar,navraj hans,himesh reshammiya,irshad kamil"
"July 18, 2022",Mor Mor Lyrics – Goodluck Jerry,Hindi songs lyrics,Mor Mor Lyrics<BR><BR><BR>Re Bheetar Bheetar Happy Happy<BR>Baalak Je Gangor<BR>Haan Dagmag Dagmag Naache<BR>Tabadtod Tod Tod TodRe Bheetar Bheetar Happy Happy<BR>Baalak Je Gangor<BR>Haan Dagmag Dagmag Naache<BR>Tabadtod Tod Tod TodRe Begaani Shaadi Mein<BR>Abdul Deewana<BR>Yo Balak Hai Kaun<BR>Yo Balak Hai Kaun<BR>Yo Balak Dekho Ban Jaavega MorJe Ban Gaya Dekho<BR>Mor Mor Mor<BR>Mor Mor MorJe Ban Gaya Dekho<BR>Mor Mor Mor<BR>Naache Mor Mor MorRe Udta Udta Laage<BR>Ban Gaya Mor Mor More<BR>Naache Mor Mor(Music)Re Baari Barsi Khatan Gaya Si<BR>Khat Ke Bulaayi Danka<BR>Re Ghana Choudhary Banega<BR>Jo Lagegi Uski LankaParty Taan Sajdi<BR>Ho Party Taan SajdiRe Baari Barsi Khatan Gaya Si<BR>Khat Ke Wo Laayi Rocket<BR>Haan C Type Da Charger Laake<BR>Nachdi Phirdi SocketParty Taan Sajdi<BR>Ho Party Taan SajdiRe Foofe Ke Mame Ke Saale Na Chacha<BR>Yun Naache Hai Tod<BR>Yo Baalak Dekho Ban Jaayega MorRe Ban Gaya Dekho<BR>Mor Mor Mor<BR>Naache Mor Mor Mor<BR>Mor Mor Mor<BR>Naache Mor Mor MorRe Udta Udta Laage<BR>Ban Gaya Mor Mor Mor<BR>Naache Mor MorMor Mor Mor<BR>Naache<BR><BR><BR><BR>,Mor Mor Lyrics
"July 17, 2022","Kesariya Lyrics – Arijit Singh, Brahmastra",Hindi songs lyrics,"Kesariya Lyrics<BR><BR><BR>Mujhko Itna Bataye Koi<BR>Kaise Tujhse Dil Na Lagaye KoiRabba Ne Tujhko Banane Mein<BR>Kardi Hain Husn Ki Khaali Tijoriyan<BR>Kajal Ki Siyahi Se Likhi<BR>Hai Tune Jaane Kitno Ki Love Story’anKesariya Tera Ishq Hai Piya<BR>Rang Jaun Jo Main Hath Lagaun<BR>Din Beete Saara Teri Fikr Mein<BR>Rain Saari Teri Khair ManaunKesariya Tera Ishq Hai Piya<BR>Rang Jaun Jo Main Hath Lagaun<BR>Din Beete Saara Teri Fikr Mein<BR>Rain Saari Teri Khair Manaun[music]Patjhad Ke Mausam Mein Bhi<BR>Rangi Chanaron Jaisi<BR>Jhanke Sannnato Mein Tu<BR>Veena Ke Taaron JaisiHmm Sadiyon Se Bhi Lambi Ye<BR>Mann Ki Amavasein Hain<BR>Aur Tu Phuljhadiyon Wale<BR>Tyoharon JaisiChanda Bhi Deewana Hai Tera<BR>Jalti Hai Tujhse Saari Chhakoriyan<BR>Kajal Ki Siyahi Se Likhi<BR>Hai Tune Jaane Kitno Ki Love Story’anKesariya Tera Ishq Hai Piya<BR>Rang Jaun Jo Main Hath Lagaun<BR>Din Beete Saara Teri Fikr Mein<BR>Rain Saari Teri Khair ManaunKesariya Tera Ishq Hai Piya<BR>Rang Jaun Jo Main Hath Lagaun<BR>Din Beete Saara Teri Fikr Mein<BR>Rain Saari Teri Khair Manaun[music]Kesariya Tera Ishq Hai Piya<BR>Ishq Hai Piya<BR>Kesariya Tera Ishq Hai Piya<BR>Ishq Hai PiyaPiya Ishq Hai Piya<BR>Ishq Hai PiyaKesariya Tera Ishq Hai Piya<BR>Rang Jaaun Jo Main Hath Lagaun<BR><BR><BR><BR>song – kesariya<BR>singer – arijit singh, nikhita gandhi<BR>lyricist – amitabh bhattacharya<BR>musician – pritam<BR>label – sony music","Kesariya Lyrics,kesariya,arijit singh,nikhita gandhi,amitabh bhattacharya,pritam"
